"city_code","covid.percapita.committed.fed","covid.percapita.committed.city","covid.percapita.committed.state","covid.percapita.disbursed.fed","covid.percapita.disbursed.city","covid.percapita.disbursed.state"
3529906,26.5236695005854,0,0.000215852975614897,0.000114035534285808,0,0.305220180216871
3530003,0,0,0,0,0,0
3530102,0,0,0,0,0,0
3530201,113.410443341695,-1.13093030864871,7.63206292943614,111.056609772058,0.0538226633220635,5.46132457192715
3530300,31.9606347942888,0,5.54645324444887,28.5480747226506,0,4.53052634197304
3530409,21.2479081114048,0.127383614555804,3.88188656230941,50.0903557633665,0.127383614555804,3.88188656230941
3530508,80.4658912728327,0,1.8283922876196,80.2922052768919,0,1.82665265294288
3530607,63.6371135685526,0.27803263196424,12.7243471721552,51.0250624798962,1.03965759730248,10.7602880308795
3530706,48.4649927139898,4.78527409120909,7.59210170355414,43.739058765103,4.78020368155888,5.26071108845805
3530805,113.444964975974,0,3.02643662573412,108.556121836626,0,3.02643662573412
3530904,306.646371151653,0.279931584948689,3.96579247434436,306.646371151653,0.279931584948689,3.96579247434436
3531001,0,0,0,0,0,0
3531100,52.8704267277269,5.55092978590798e-06,21.2136663891202,49.8521086594505,6.93866223238498e-06,20.637253677491
3531209,52.9205930218222,28.0417765996794,0,52.9205930218222,14.1422833189496,0
3531308,117.477177184275,1.0179144016387,3.88830142598283,117.179812495076,1.0179144016387,3.88830142598283
3531407,34.7188381350254,6.00827533204587,0.0351160682615379,22.0373325976432,6.00823592007252,0.226540022858945
3531506,154.549885596795,9.10762231126107,11.6489060522986,154.549885596795,9.0601739772248,7.97166016448756
3531605,78.9253384541527,0,3.81593855016803,78.5412770043207,0,3.83754200672108
3531704,91.5067695911414,25.1322252981261,57.529278109029,90.2825340715502,3724.91939948893,21.0761733390119
3531803,38.0767745333641,6.88874263422985,5.45384270994502,37.4340542186523,6.65934012575304,5.40446324521842
3531902,171.56876862533,5.91630857966835,0.185111751982696,162.596108207162,5.91630857966835,0.0720980533525595
3532009,55.0162288658298,0,8.65290544953196,55.5412785719469,0,9.10951092083303
3532058,74.0114139728884,18.024496350365,6.25655891553702,73.1919937434828,10.7526047966632,6.25647549530761
3532108,121.405197514425,7.05792276964048,0.411824234354194,116.733981358189,7.05792276964048,0.411602308033733
3532157,3.02756841774143,2.89776659326832,6.34350424661843,3.02756841774143,2.89776659326832,6.34350424661843
3532207,133.334594208809,0.0593535889070147,0.000652528548123665,57.7336969820555,0.0593535889070147,3.23984502446982
3532306,22.8185576633544,11.1808852755194,0.00120445648900933,22.8183589280337,10.9478831677206,0.00120445648900933
3532405,50.8367269226655,0.802315755695796,6.55817092737191,47.8790255642315,0.802315755695796,5.53989945448711
3532504,29.520945870223,0.258489297321529,5.46438977922224,29.520945870223,0.258489297321529,5.46438977922224
3532603,42.4373358202481,0,3.66173765940834,39.5218547757439,0,3.66173765940835
3532702,0,0,0,0,0,0
3532801,10.4418123938879,33.2664388794567,0.201895868704018,89.1879272778721,18.2027773061686,3.59408602150538
3532827,55.0227129817444,14.9745760649087,12.1352434077079,48.6283965517241,29.7230202839757,3.29391480730223
3532843,111.956274298056,0,0,111.956274298056,0,0
