"city_UF","votes_pct.JB"
"RIACHÃO DAS NEVES (ba)",0.195648696208607
"RIACHÃO DO JACUÍPE (ba)",0.142013906257816
"RIACHO DE SANTANA (ba)",0.12388911776823
"RIBEIRA DO AMPARO (ba)",0.10006373486297
"RIBEIRA DO POMBAL (ba)",0.238266529633436
"RIBEIRÃO DO LARGO (ba)",0.224898824436308
"RIO DE CONTAS (ba)",0.216168717047452
"RIO DO ANTÔNIO (ba)",0.151100779433885
"RIO DO PIRES (ba)",0.208695652173913
"RIO REAL (ba)",0.247860162936991
"RODELAS (ba)",0.138853230637569
"RUY BARBOSA (ba)",0.213923035809727
"SALINAS DA MARGARIDA (ba)",0.130409219190969
"SALVADOR (ba)",0.314080894763033
"SANTA BÁRBARA (ba)",0.182733374008542
"SANTA BRÍGIDA (ba)",0.116111387369468
"SANTA CRUZ CABRÁLIA (ba)",0.399722521967011
"SANTA CRUZ DA VITÓRIA (ba)",0.352358303606817
"SANTA INÊS (ba)",0.127004848936964
"SANTALUZ (ba)",0.221853348729792
"SANTA MARIA DA VITÓRIA (ba)",0.246855659812338
"SANTANA (ba)",0.27062402716853
"SANTANÓPOLIS (ba)",0.133345170454545
"SANTA TEREZINHA (ba)",0.153652845090648
"SANTO AMARO (ba)",0.139787846098526
"SANTO ANTÔNIO DE JESUS (ba)",0.335130699800727
"SANTO ESTEVÃO (ba)",0.157529318656018
"SÃO DESIDÉRIO (ba)",0.252849303503588
"SÃO FÉLIX (ba)",0.149582592035035
"SÃO DOMINGOS (ba)",0.230341388569237
"SÃO FELIPE (ba)",0.244194819347808
"SÃO FÉLIX DO CORIBE (ba)",0.319273281666878
"SÃO FRANCISCO DO CONDE (ba)",0.128242074927954
"SÃO GONÇALO DOS CAMPOS (ba)",0.182873797187269
"SÃO JOSÉ DO JACUÍPE (ba)",0.165514664674015
"SÃO MIGUEL DAS MATAS (ba)",0.204921838724656
"SÃO SEBASTIÃO DO PASSÉ (ba)",0.130007855459544
"SAPEAÇU (ba)",0.205037600797318
"SÁTIRO DIAS (ba)",0.169004040884241
"SAUBARA (ba)",0.201339688264846
"SAÚDE (ba)",0.183187390542907
"SEABRA (ba)",0.123882760286658
"SEBASTIÃO LARANJEIRAS (ba)",0.231216272312163
"SENHOR DO BONFIM (ba)",0.32723690053286
"SENTO SÉ (ba)",0.21285721945204
"SERRA DO RAMALHO (ba)",0.173907362644542
"SERRA DOURADA (ba)",0.360133158478765
"SERRA PRETA (ba)",0.136521136521137
"SERRINHA (ba)",0.218623758986648
"SERROLÂNDIA (ba)",0.243801080482061
"SIMÕES FILHO (ba)",0.265320273901361
"SÍTIO DO MATO (ba)",0.190597609561753
"SOUTO SOARES (ba)",0.0883966463099058
"TABOCAS DO BREJO VELHO (ba)",0.157665505226481
"TANHAÇU (ba)",0.24781919111816
"TANQUINHO (ba)",0.191816330309202
"TAPEROÁ (ba)",0.20251586582049
"TAPIRAMUTÁ (ba)",0.182199580461492
"TEODORO SAMPAIO (ba)",0.0925967851482907
"TEOFILÂNDIA (ba)",0.112764291307753
"TEOLÂNDIA (ba)",0.239597685312758
"TERRA NOVA (ba)",0.139776951672862
"TREMEDAL (ba)",0.192960269786068
"TUCANO (ba)",0.157730197389945
"UAUÁ (ba)",0.118597074928953
"UBAÍRA (ba)",0.27044140589153
"UBAITABA (ba)",0.312637420165428
"UBATÃ (ba)",0.326061459066385
"UIBAÍ (ba)",0.227673843981645
"UMBURANAS (ba)",0.229438997821351
"UNA (ba)",0.330830079102834
"URANDI (ba)",0.171826802239232
"URUÇUCA (ba)",0.361973094170404
"UTINGA (ba)",0.186181987650006
"VALENÇA (ba)",0.30697355923218
"VALENTE (ba)",0.327694503925767
"VÁRZEA DO POÇO (ba)",0.248950069995334
"VARZEDO (ba)",0.272637956443426
"VERA CRUZ (ba)",0.214163335237007
"VEREDA (ba)",0.304291955795425
"VITÓRIA DA CONQUISTA (ba)",0.419349447306846
"WAGNER (ba)",0.221268163804491
"WENCESLAU GUIMARÃES (ba)",0.243060129857909
"XIQUE-XIQUE (ba)",0.201967543933406
"LAPÃO (ba)",0.176154190945764
"MADRE DE DEUS (ba)",0.184074981001435
"MAETINGA (ba)",0.269270833333333
"MANSIDÃO (ba)",0.141808008393076
"NORDESTINA (ba)",0.142160597287826
