"city_code","city.area"
1600600,1579.6
1600709,6709.6
1600808,2482.9
1700251,1895.2
1700301,235.4
1700350,1579.7
1700400,4013.2
1700707,1212.2
1701002,1577
1701051,451.7
1701101,1160.4
1701309,1173.1
1701903,2778.5
1702000,5167.9
1702109,4000.4
1702158,836
1702208,2625.3
1702307,1552.2
1702406,5786.9
1702554,395
1702703,752.8
1702901,150.2
1703008,1788.5
1703057,1541.8
1703073,1106.3
1703107,713.3
1703206,926.9
1703305,1332.7
1703602,641.5
1703701,1724.4
1703800,251.9
1703826,352.3
1703842,3240.2
1703867,1128.6
1703883,339.4
1703891,192.9
1703909,1691.6
1704105,1954.7
1704600,659.2
1705102,1646.5
1705508,843.8
1705557,209.6
1705607,2500.7
1706001,1585.8
1706100,1848.2
1706258,986.7
1706506,1639.2
1707009,3217.1
1707108,2347.4
1707207,3757
1707306,3424.8
1707405,504
1707553,382.9
1707652,1930.1
1707702,1988.1
1708205,13423.3
1708254,621.6
1708304,1801
1709005,6408.6
1709302,2268.2
1709500,1836.1
1709807,815.3
1710508,3051.4
1710706,739.8
1710904,1244
1711100,973
1711506,2173
1711803,481
1711902,10564.6
1711951,911.3
1712009,322.5
1712157,519.6
1712405,5723.2
1712454,279.6
1712504,2091.4
1712702,9583.5
1712801,738.1
1713205,2656.1
1713304,1031.6
1713601,3616.7
1713700,1091.6
1713809,747.9
1713957,1186.6
1714203,3240.7
1714302,395.9
1714880,1566.2
1715002,516.3
1715101,2671.9
1715150,200.1
1715259,1309.7
1715507,205.8
1715705,2640.8
1715754,1703.9
1716109,1268.1
1716208,11260.2
1716307,1377.4
1716505,2010.9
1716604,5291.2
1716653,1209.8
1716703,990.7
1717008,1559.1
1717206,1367.6
1717503,10013.9
1717800,1806.1
1717909,6491.1
1718006,502
1718204,4449.9
1718303,289.1
1718402,770.4
1718451,401.8
1718501,2216.7
1718550,517.5
1718659,787.1
1718709,845.1
1718758,6357.1
1718808,222.3
1718840,3528.6
1718865,1678.1
1718881,1410.5
1718899,3274.9
1718907,1796.3
1719004,539.9
1720002,269.7
1720101,1105.9
1720150,1908.7
1720200,398.8
1720259,1422
1720309,287.3
1720499,2519.6
1720655,1258.8
1720804,324.1
1720853,1025.5
1720903,2437.4
1720937,1116.2
1720978,2156.9
1721000,2218.9
1721109,2601.6
1721208,1077.1
1721257,712.2
1721307,895.3
1722081,1373.1
1722107,1186.4
2100055,5806.4
2100105,371.3
2100154,443.3
2100204,1486.7
2100303,1942.1
2100402,721.5
2100436,383.3
2100477,1932.3
2100501,11132.1
2100550,502.4
2100600,7438
2100709,1011.1
2100808,608.3
2100832,353.2
2100873,805.2
2100907,1782.6
2100956,3008.7
2101004,1100.3
2101103,203.2
2101202,1683.1
2101251,615.6
2101301,787.9
2101350,674.5
2101400,13141.7
2101509,2247.2
2101608,5202.7
2101707,3112
2101731,499.4
2101772,255.4
2101806,1781.7
2101905,769
2101939,261.5
2101970,403.5
2102002,6590.5
2102036,2679.1
2102077,446
2102101,1074.6
2102150,1059.3
2102200,1474
2102309,1582.5
2102325,2545.6
2102358,818.4
2102374,705.6
2102408,908.7
2102507,662.1
2102556,615.4
2102606,1633.7
2102705,773
2102754,590.5
2102804,6441.6
2102903,1232.1
2103000,5150.6
2103109,289
2103125,319.1
2103158,1074.1
2103174,8258.4
2103208,3247.4
2103257,1464
2103307,4361.3
2103406,975.5
2103505,1980.5
2103554,733.2
2103604,2263.8
2103703,1223.4
2103752,336
2103802,358.5
2103901,317.9
2104008,480.9
2104057,2719
2104073,1473.4
2104081,5086.6
2104099,3950.5
2104107,1664.3
2104206,695
2104305,674.4
2104404,878.5
2104503,450.9
2104552,615.8
2104602,817
2104628,373.2
2104651,1160.5
2104677,1037.1
2104701,271.4
2104800,8830.9
2104909,595.4
2105005,2131.3
2105104,1448.8
2105153,368.7
