"city_code","state"
2202737,"PI"
2202752,"PI"
2202778,"PI"
2202802,"PI"
2202851,"PI"
2202901,"PI"
2203008,"PI"
2203107,"PI"
2203206,"PI"
2203230,"PI"
2203255,"PI"
2203271,"PI"
2203305,"PI"
2203354,"PI"
2203404,"PI"
2203420,"PI"
2203453,"PI"
2203503,"PI"
2203602,"PI"
2203701,"PI"
2203750,"PI"
2203800,"PI"
2203859,"PI"
2203909,"PI"
2204006,"PI"
2204105,"PI"
2204154,"PI"
2204204,"PI"
2204303,"PI"
2204352,"PI"
2204402,"PI"
2204501,"PI"
2204550,"PI"
2204600,"PI"
2204659,"PI"
2204709,"PI"
2204808,"PI"
2204907,"PI"
2205003,"PI"
2205102,"PI"
2205151,"PI"
2205201,"PI"
2205250,"PI"
2205276,"PI"
2205300,"PI"
2205359,"PI"
2205409,"PI"
2205458,"PI"
2205508,"PI"
2205516,"PI"
2205524,"PI"
2205532,"PI"
2205540,"PI"
2205557,"PI"
2205565,"PI"
2205573,"PI"
2205581,"PI"
2205599,"PI"
2205607,"PI"
2205706,"PI"
2205805,"PI"
2205854,"PI"
2205904,"PI"
2205953,"PI"
2206001,"PI"
2206050,"PI"
2206100,"PI"
2206209,"PI"
2206308,"PI"
2206357,"PI"
2206407,"PI"
2206506,"PI"
2206605,"PI"
2206654,"PI"
2206670,"PI"
2206696,"PI"
2206704,"PI"
2206720,"PI"
2206753,"PI"
2206803,"PI"
2206902,"PI"
2206951,"PI"
2207009,"PI"
2207108,"PI"
2207207,"PI"
2207306,"PI"
2207355,"PI"
2207405,"PI"
2207504,"PI"
2207553,"PI"
2207603,"PI"
2207702,"PI"
2207751,"PI"
2207777,"PI"
2207793,"PI"
2207801,"PI"
2207850,"PI"
2207900,"PI"
2207934,"PI"
2207959,"PI"
2208007,"PI"
2208106,"PI"
2208205,"PI"
2208304,"PI"
2208403,"PI"
2208502,"PI"
2208551,"PI"
2208601,"PI"
2208650,"PI"
2208700,"PI"
2208809,"PI"
2208858,"PI"
2208874,"PI"
2208908,"PI"
2209005,"PI"
2209104,"PI"
2209153,"PI"
2209203,"PI"
2209302,"PI"
2209351,"PI"
2209377,"PI"
2209401,"PI"
2209450,"PI"
2209500,"PI"
2209559,"PI"
2209609,"PI"
2209658,"PI"
2209708,"PI"
2209757,"PI"
2209807,"PI"
2209856,"PI"
2209872,"PI"
2209906,"PI"
2209955,"PI"
2209971,"PI"
2210003,"PI"
2210052,"PI"
2210102,"PI"
2210201,"PI"
2210300,"PI"
2210359,"PI"
2210375,"PI"
2210383,"PI"
2210391,"PI"
2210409,"PI"
2210508,"PI"
2210607,"PI"
2210623,"PI"
2210631,"PI"
2210656,"PI"
2210706,"PI"
2210805,"PI"
2210904,"PI"
2210938,"PI"
2210953,"PI"
2210979,"PI"
2211001,"PI"
2211100,"PI"
2211209,"PI"
2211308,"PI"
2211357,"PI"
2211407,"PI"
2211506,"PI"
2211605,"PI"
2211704,"PI"
2300101,"CE"
2300150,"CE"
2300200,"CE"
2300309,"CE"
2300408,"CE"
2300507,"CE"
2300606,"CE"
2300705,"CE"
2300754,"CE"
2300804,"CE"
2300903,"CE"
2301000,"CE"
2301109,"CE"
2301208,"CE"
2301257,"CE"
2301307,"CE"
2301406,"CE"
2301505,"CE"
2301604,"CE"
2301703,"CE"
2301802,"CE"
2301851,"CE"
2301901,"CE"
2301950,"CE"
2302008,"CE"
2302057,"CE"
2302107,"CE"
2302206,"CE"
2302305,"CE"
2302404,"CE"
2302503,"CE"
2302602,"CE"
2302701,"CE"
2302800,"CE"
2302909,"CE"
2303006,"CE"
2303105,"CE"
2303204,"CE"
2303303,"CE"
2303402,"CE"
2303501,"CE"
2303600,"CE"
2303659,"CE"
2303709,"CE"
2303808,"CE"
2303907,"CE"
2303931,"CE"
2303956,"CE"
2304004,"CE"
2304103,"CE"
2304202,"CE"
2304236,"CE"
2304251,"CE"
2304269,"CE"
2304277,"CE"
2304285,"CE"
2304301,"CE"
2304350,"CE"
2304400,"CE"
2304459,"CE"
2304509,"CE"
2304608,"CE"
2304657,"CE"
2304707,"CE"
2304806,"CE"
2304905,"CE"
2304954,"CE"
2305001,"CE"
2305100,"CE"
2305209,"CE"
2305233,"CE"
2305266,"CE"
2305308,"CE"
2305332,"CE"
2305357,"CE"
2305407,"CE"
2305506,"CE"
2305605,"CE"
2305654,"CE"
2305704,"CE"
2305803,"CE"
2305902,"CE"
2306009,"CE"
2306108,"CE"
2306207,"CE"
2306256,"CE"
2306306,"CE"
2306405,"CE"
2306504,"CE"
2306553,"CE"
2306603,"CE"
2306702,"CE"
2306801,"CE"
2306900,"CE"
2307007,"CE"
2307106,"CE"
2307205,"CE"
2307254,"CE"
2307304,"CE"
2307403,"CE"
2307502,"CE"
2307601,"CE"
2307635,"CE"
2307650,"CE"
2307700,"CE"
2307809,"CE"
2307908,"CE"
2308005,"CE"
2308104,"CE"
2308203,"CE"
2308302,"CE"
2308351,"CE"
2308377,"CE"
2308401,"CE"
2308500,"CE"
2308609,"CE"
2308708,"CE"
2308807,"CE"
2308906,"CE"
2309003,"CE"
2309102,"CE"
2309201,"CE"
2309300,"CE"
2309409,"CE"
2309458,"CE"
2309508,"CE"
2309607,"CE"
2309706,"CE"
2309805,"CE"
2309904,"CE"
2310001,"CE"
2310100,"CE"
2310209,"CE"
2310258,"CE"
2310308,"CE"
2310407,"CE"
2310506,"CE"
2310605,"CE"
2310704,"CE"
2310803,"CE"
2310852,"CE"
2310902,"CE"
2310951,"CE"
2311009,"CE"
2311108,"CE"
2311207,"CE"
2311231,"CE"
2311264,"CE"
2311306,"CE"
2311355,"CE"
2311405,"CE"
2311504,"CE"
2311603,"CE"
2311702,"CE"
2311801,"CE"
2311900,"CE"
2311959,"CE"
2312007,"CE"
2312106,"CE"
2312205,"CE"
2312304,"CE"
2312403,"CE"
2312502,"CE"
2312601,"CE"
2312700,"CE"
2312809,"CE"
2312908,"CE"
2313005,"CE"
2313104,"CE"
2313203,"CE"
2313252,"CE"
2313302,"CE"
2313351,"CE"
2313401,"CE"
2313500,"CE"
2313559,"CE"
2313609,"CE"
2313708,"CE"
2313757,"CE"
2313807,"CE"
2313906,"CE"
2313955,"CE"
2314003,"CE"
2314102,"CE"
2400109,"RN"
2400208,"RN"
2400307,"RN"
2400406,"RN"
2400505,"RN"
2400604,"RN"
2400703,"RN"
2400802,"RN"
2400901,"RN"
2401008,"RN"
2401107,"RN"
2401206,"RN"
2401305,"RN"
2401404,"RN"
2401453,"RN"
2401503,"RN"
2401602,"RN"
2401651,"RN"
2401701,"RN"
2401800,"RN"
2401859,"RN"
2401909,"RN"
2402006,"RN"
2402105,"RN"
2402204,"RN"
2402303,"RN"
2402402,"RN"
2402501,"RN"
2402600,"RN"
2402709,"RN"
2402808,"RN"
2402907,"RN"
2403004,"RN"
2403103,"RN"
2403202,"RN"
2403251,"RN"
2403301,"RN"
2403400,"RN"
2403509,"RN"
2403608,"RN"
2403707,"RN"
2403756,"RN"
2403806,"RN"
2403905,"RN"
2404002,"RN"
2404101,"RN"
2404200,"RN"
2404309,"RN"
2404408,"RN"
2404507,"RN"
2404606,"RN"
2404705,"RN"
2404804,"RN"
2404853,"RN"
2404903,"RN"
2405009,"RN"
2405108,"RN"
2405207,"RN"
2405306,"RN"
2405405,"RN"
2405504,"RN"
2405603,"RN"
2405702,"RN"
2405801,"RN"
2405900,"RN"
2406007,"RN"
2406106,"RN"
2406155,"RN"
2406205,"RN"
2406304,"RN"
2406403,"RN"
2406502,"RN"
2406601,"RN"
2406700,"RN"
2406809,"RN"
2406908,"RN"
2407005,"RN"
2407104,"RN"
2407203,"RN"
2407252,"RN"
2407302,"RN"
2407401,"RN"
2407500,"RN"
