"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
2105906,12.39,10.12,21.61,5.59,0.74,0.67,0.29,0.04,0.03,0,0,48.52,0.39215
2105922,13.88,8.05,19.63,7.29,0.81,0.53,0.18,0.01,0.02,0.01,0.02,49.56,0.3896625
2105948,10.49,9.6,27.15,8.56,1.11,0.81,0.43,0.08,0.03,0,0.02,41.73,0.5079
2105963,7.67,6.93,16.07,5.03,0.58,0.26,0.19,0.03,0.03,0,0,63.21,0.2892875
2105989,11.53,8.15,24.9,6.46,1.41,0.92,0.51,0.02,0.05,0,0.05,46,0.4795875
2106003,12.44,7.74,26.87,8.43,1.66,1.27,0.62,0.05,0.08,0.01,0.04,40.8,0.56165
2106102,10.82,8.22,23.32,5.25,0.96,1.05,0.46,0.04,0.02,0.05,0.02,49.78,0.439025
2106201,15.76,8,19.99,7.4,1.27,0.95,0.5,0.06,0.02,0.02,0.04,45.99,0.465575
2106300,10.85,7.55,20.22,5.37,0.99,0.62,0.26,0.04,0.04,0.01,0.04,54.01,0.3831875
2106326,10.06,9.78,25.07,8.45,1.49,1.17,0.7,0.07,0.05,0.01,0.02,43.12,0.53915
2106359,8.72,9.32,9.6,2.96,0.55,0.45,0.1,0,0,0,0,68.3,0.2124
2106375,10.37,9.25,21.52,5.63,0.81,0.49,0.19,0.03,0,0,0.02,51.68,0.3703125
2106409,8.83,7.23,20.9,4.5,0.85,0.84,0.35,0.02,0.03,0.02,0.01,56.42,0.3702875
2106508,14.84,9.34,22.94,5.37,0.9,0.79,0.55,0.08,0.03,0.01,0.01,45.14,0.440825
2106607,10.64,8.26,22.49,5.26,0.98,0.66,0.34,0.02,0.03,0.02,0,51.31,0.3943
2106631,9.45,7.26,19.96,4.24,0.48,0.33,0.11,0.02,0.03,0,0.01,58.11,0.30835
2106672,15.05,11.45,18.97,4.46,0.57,0.38,0.13,0.02,0,0,0,48.97,0.3314375
2106706,10.5,6.75,16.11,4.34,0.8,0.55,0.44,0.03,0.04,0,0,60.45,0.3232375
2106755,5.85,5.45,28.82,7.63,1.24,0.73,0.4,0.04,0.06,0,0.01,49.76,0.4743625
2106805,11.46,9.66,25.04,6.55,1.4,0.99,0.68,0.03,0.04,0.02,0.01,44.13,0.495275
2106904,16.36,12.58,19.59,4.4,0.77,0.53,0.28,0.02,0.02,0,0,45.46,0.36845
2107001,10.37,7.34,22.01,6.09,1.18,1,0.75,0.07,0.04,0.04,0.07,51.05,0.482375
2107100,10.61,8.99,16.88,4.24,1.16,0.75,0.48,0.03,0.03,0.02,0,56.81,0.3594375
2107209,10.05,8.44,17.01,4.27,0.69,0.7,0.4,0.03,0.03,0.04,0,58.34,0.34265
