"city_code","covid.aidpercapita_people_CU","covid.aidpercapita_people_appCaixa","covid.aidpercapita_people_lawsuit","covid.aidpercapita_people_BolsaFamilia","covid.aidpercapita_people","covid.aidpercapita_value_CU","covid.aidpercapita_value_appCaixa","covid.aidpercapita_value_lawsuit","covid.aidpercapita_value_BolsaFamilia","covid.aidpercapita_value"
1718501,0.0543528327959466,0.0690925840626439,0,0.204514048825426,0.327959465684017,1022.84661446338,213.77245508982,0,655.41225241824,1892.03132197144
1718550,0.0811272416737831,0.0851836037574722,0,0.189154568744663,0.355465414175918,1154.39795046968,262.467976088813,0,651.110162254483,2067.97608881298
1718659,0.0631045601105481,0.0999539382772916,0,0.117918010133579,0.280976508521419,926.39336711193,318.102257024413,0,429.203132197144,1673.69875633349
1718709,0.122198879551821,0.0861344537815126,0,0.170168067226891,0.378501400560224,1195.79831932773,266.596638655462,0,564.705882352941,2027.10084033613
1718758,0.0533292231812577,0.0758323057953144,0.000154130702836005,0.175246609124538,0.304562268803946,971.763255240444,230.17879161529,0.462392108508015,588.717632552404,1791.12207151665
1718808,0.0640383813099708,0.107008760951189,0.000208594075928244,0.210471422611598,0.381727158948686,1351.06382978723,326.032540675845,0.625782227784731,825.281602002503,2503.00375469337
1718840,0.116217017491847,0.183219685739698,0,0.12926178476134,0.428698487992885,1386.06581678031,584.16839608657,0,459.650163059591,2429.88437592648
1718865,0.103752468729427,0.140092165898618,0.000131665569453588,0.0813693219223173,0.325345622119816,1103.69980250165,461.751152073733,0.394996708360764,321.922317314022,1887.76826859776
1718881,0.0849110728628801,0.0691336775674125,0,0.139414802065404,0.293459552495697,918.244406196213,221.858864027539,0,453.700516351119,1593.80378657487
1718899,0.0825649622799665,0.115674769488684,0,0.110226320201174,0.308466051969824,996.814752724225,380.720871751886,0,374.182732606873,1751.71835708298
1718907,0.0697482459760627,0.113495666529096,0,0.161576557985968,0.344820470491127,1170.03714403632,349.27775484936,0,614.73380107305,2134.04869995873
1719004,0.0994131860545392,0.115636865723162,0,0.113565757680359,0.32861580945806,1050.88022091819,362.858129099068,0,386.675871591301,1800.41422160856
1720002,0.0972332015810277,0.0889328063241107,0,0.165612648221344,0.351778656126482,1119.604743083,281.739130434783,0,545.454545454545,1946.79841897233
1720101,0.0740122426265999,0.114820997959562,0,0.168985345946949,0.357818586533111,1146.68892598776,356.371730662215,0,569.170840289371,2072.23149693934
1720150,0.109511889862328,0.107634543178974,0,0.158948685857322,0.376095118898623,1190.23779724656,342.803504380476,0,526.032540675845,2059.07384230288
1720200,0.0485602733040508,0.105010574263869,0,0.193427688303237,0.346998535871157,1231.47877013177,318.399219131284,0,769.448511469009,2319.32650073206
