"city_code","employment.agri.pct","employment.indExtractive.pct","employment.indTransform.pct","employment.power.pct","employment.waterSewage.pct","employment.building.pct","employment.trade.pct","employment.transport.pct","employment.foodLodging.pct","employment.communication.pct","employment.finance.pct","employment.realState.pct","employment.professional.pct","employment.admin.pct","employment.public.pct","employment.education.pct","employment.health.pct","employment.artsSports.pct","employment.otherServices.pct","employment.home.pct","employment.international.pct"
3122355,0.00846262341325811,0.0126939351198872,0.307475317348378,0,0,0,0.176304654442877,0.00846262341325811,0.0451339915373766,0,0,0,0.00141043723554302,0.00141043723554302,0.406205923836389,0.00282087447108604,0.00282087447108604,0,0.0267983074753173,0,0
3122405,0.245398773006135,0,0.0352760736196319,0,0,0.0138036809815951,0.188650306748466,0.00920245398773006,0.00306748466257669,0,0.0138036809815951,0,0.00460122699386503,0.00460122699386503,0.386503067484663,0.00613496932515337,0.0812883435582822,0,0.00766871165644172,0,0
3122454,0.0565656565656566,0,0.00404040404040404,0,0,0,0.0808080808080808,0.00202020202020202,0.00202020202020202,0.00404040404040404,0.00808080808080808,0,0.0141414141414141,0.00202020202020202,0.783838383838384,0,0.0323232323232323,0,0.0101010101010101,0,0
3122470,0.21656050955414,0.00955414012738853,0,0,0,0,0.10828025477707,0.0318471337579618,0.00636942675159236,0,0.0127388535031847,0,0.00636942675159236,0,0.601910828025478,0,0,0,0.00636942675159236,0,0
3122504,0.037037037037037,0,0.095959595959596,0,0,0.00336700336700337,0.220538720538721,0.0202020202020202,0.0387205387205387,0.00841750841750842,0.0134680134680135,0,0.00336700336700337,0.0185185185185185,0.493265993265993,0.00841750841750842,0.0252525252525253,0.00336700336700337,0.0101010101010101,0,0
3122603,0.0702179176755448,0,0.00968523002421308,0,0,0.00726392251815981,0.215496368038741,0.00968523002421308,0.0121065375302663,0.0121065375302663,0.0145278450363196,0,0.00242130750605327,0,0.595641646489104,0,0.0435835351089588,0,0.00484261501210654,0.00242130750605327,0
3122702,0.106957424714434,0.0114226375908619,0.358255451713396,0,0,0.00207684319833853,0.191069574247144,0.0124610591900312,0.00726895119418484,0,0.0114226375908619,0,0.0083073727933541,0.00415368639667705,0.208722741433022,0.00519210799584631,0.0404984423676012,0.00623052959501558,0.0259605399792316,0,0
3122801,0.297546012269939,0,0.00920245398773006,0,0,0.00306748466257669,0.0644171779141104,0.00306748466257669,0,0,0,0,0.00306748466257669,0.00613496932515337,0.573619631901841,0,0.00306748466257669,0,0.0368098159509202,0,0
3122900,0.117178612059158,0,0.196814562002275,0,0,0.0284414106939704,0.266211604095563,0.0273037542662116,0.0193401592718999,0,0.00796359499431172,0.00113765642775882,0.00455062571103527,0.00113765642775882,0.306029579067122,0,0.00113765642775882,0.0113765642775882,0.0113765642775882,0,0
3123007,0.00715258855585831,0.00306539509536785,0.666553133514986,0,0.0061307901907357,0.0129427792915531,0.106948228882834,0.0214577656675749,0.00783378746594005,0.00544959128065395,0.00272479564032698,0,0.00476839237057221,0.00442779291553134,0.124659400544959,0.00510899182561308,0.00715258855585831,0.0023841961852861,0.0112397820163488,0,0
3123106,0.0954692556634304,0.252427184466019,0,0,0,0,0.16504854368932,0.0194174757281553,0,0,0,0,0.00161812297734628,0.00323624595469256,0.451456310679612,0,0.00485436893203883,0,0.00647249190938511,0,0
3123205,0.124352331606218,0,0.168629298162977,0,0,0.0188412623645784,0.209609043805935,0.0160150730098917,0.0551106924163919,0.012246820536976,0.0339142722562412,0,0.018370230805464,0.0146019783325483,0.221384832783797,0.0221384832783797,0.0504003768252473,0.00753650494583137,0.0268487988695243,0,0
3123304,0.252525252525253,0,0.0572390572390572,0,0,0.00336700336700337,0.198653198653199,0.00673400673400673,0,0,0,0,0,0,0.437710437710438,0,0.00673400673400673,0,0.037037037037037,0,0
3123403,0.106529209621993,0.0618556701030928,0.206185567010309,0,0,0.00343642611683849,0.013745704467354,0.00343642611683849,0.0481099656357388,0,0.0206185567010309,0,0.00343642611683849,0.00343642611683849,0.525773195876289,0,0,0,0.00343642611683849,0,0
