"city_code","vac.dose1percapita_Coronavac","vac.dose1percapita_Covishield.AZ","vac.dose1percapita_Unknown","vac.dose2percapita_Coronavac","vac.dose2percapita_Covishield.AZ","vac.dose2percapita_Unknown","vac.dose1percapita_total","vac.dose2percapita_total"
3503307,0.0787492804746653,0.0222277980310835,0,0.0434888492022493,5.90379761781766e-05,0,0.100977078505749,0.0435478871784275
3503356,0.266779469825155,0.0344049633389735,0,0.212069937958263,0,0,0.301184433164129,0.212069937958263
3503406,0.127133402995472,0.0297225124811332,0,0.0582839893184721,0,0,0.156855915476605,0.0582839893184721
3503505,0.108572895277207,0.0359342915811088,0,0.0592915811088296,0,0,0.144507186858316,0.0592915811088296
3503604,0.0601362251299516,0.018999820756408,0,0.0260799426420505,8.96217960207923e-05,0,0.0791360458863596,0.0261695644380713
3503703,0.103268107775843,0.0331933203565208,0,0.0778608749103575,0,0,0.136461428132363,0.0778608749103575
3503802,0.0742862305746296,0.0183773039392844,0,0.04053126129382,0,0,0.092663534513914,0.04053126129382
3503901,0.0709654771438288,0.0145573022368002,0,0.0370679157936308,6.58205074761126e-05,0,0.085522779380629,0.0371337363011069
3503950,0.133663366336634,0.0390539053905391,0,0.109460946094609,0,0,0.172717271727173,0.109460946094609
3504008,0.141577930666971,0.0426789231779383,0.000104675173903528,0.107577530998125,7.61273992025655e-05,2.85477747009621e-05,0.184361529018813,0.107682206172029
3504107,0.108600299816779,0.0298845150185997,0,0.0708802953750486,0.000138804064182999,0,0.138484814835378,0.0710190994392316
3504206,0.111060119320789,0.0315347800432702,0,0.0612994165082279,0,0,0.14259489936406,0.0612994165082279
3504305,0.136865342163355,0.0193156732891832,0,0.0930831493745401,0,0,0.156181015452539,0.0930831493745401
3504404,0.0716501912114871,0.0204920989970416,0,0.0405512663251317,0,0,0.0921422902085288,0.0405512663251317
3504503,0.109150298141003,0.0288714486145212,0,0.05777578042792,4.38442651701157e-05,0,0.138021746755524,0.0578196246930901
3504602,0.102415404538033,0.0222397387534486,0,0.0795563312876527,0,0,0.124655143291481,0.0795563312876527
3504701,0.0889787664307381,0.0138186720593192,0,0.0175261206605999,0,0,0.102797438490057,0.0175261206605999
3504800,0.122442280337017,0.0365466681256155,0,0.105263157894737,0,0,0.158988948462633,0.105263157894737
