"city_code","cases","deaths","cases_per100K","deaths_per100K"
1303007,1594,31,7433.6613347013,144.569323322296
1303106,2347,56,6172.09277862515,147.267658970178
1303205,2083,28,10452.6294660779,140.50582095544
1303304,1543,24,5924.13422406512,92.14466712739
1303403,8794,298,7622.8946889384,258.315057687473
1303502,2521,17,12913.6358979613,87.0812416760578
1303536,5492,88,14766.2194498965,236.603661979405
1303569,4191,59,12288.1604409781,172.990089720284
1303601,2659,42,10280.3015658225,162.381596752368
1303700,1623,39,7640.16381866968,183.589888433837
1303809,7380,100,15938.492106343,215.968727728225
1303908,3914,56,9767.17490579692,139.744965438076
1303957,1369,17,9538.74024526198,118.450390189521
1304005,1248,21,13521.1267605634,227.518959913326
1304062,3115,113,4636.65862879938,168.199815426751
1304104,1680,19,9873.64090508375,111.666176902733
1304203,7691,160,12915.8479856248,268.695316304768
