"city_code","workingHours_less14h","workingHours_15to39h","workingHours_40to44h","workingHours_45to48h","workingHours_49hplus","working_hours.avg"
1506807,10.42,25.68,31.66,14.79,17.44,37.11255
1506906,5.54,38.18,39.56,7.35,9.37,35.70845
1507003,10.8,33.55,30.66,8.45,16.55,35.48645
1507102,7.24,35.94,26.92,6.03,23.87,36.52405
1507151,9.85,16.79,32.33,11.81,29.22,39.30035
1507201,12.98,44.79,29.19,4.46,8.59,32.4533
1507300,14.96,16.84,21.49,25.65,21.05,37.90875
1507409,8.6,26.27,31.15,12.3,21.68,37.7226
1507458,11.87,22.91,35.33,12.13,17.75,37.02405
1507466,5.64,39.4,43.08,7.07,4.81,35.16565
1507474,27.88,29.97,16.46,8.98,16.71,31.2719
1507508,19.05,25.1,34.45,13.63,7.77,34.05825
1507607,10.77,29.32,29.07,11.49,19.35,36.45795
1507706,17.29,48.8,18.9,4.02,11,30.7939
1507755,5.93,17.7,41.98,16.54,17.85,39.6784
1507805,29.25,17.58,25.17,9.78,18.22,32.8885
1507904,10.42,33.56,16.76,10.41,28.85,36.53635
1507953,4.54,11.39,33.29,22.75,28.02,42.00125
1507961,19.63,30.72,31.2,7.01,11.43,33.00695
1507979,10.65,27.19,24.71,18.99,18.46,37.08625
1508001,5.56,20.75,37.11,17.7,18.87,39.4439
1508035,13.22,47.58,22.25,8.04,8.92,32.1518
1508050,4.9,27.2,35.5,18.06,14.33,38.3596
1508084,7.05,15.26,30.93,23.39,23.37,40.42545
1508100,3.93,20.88,36.77,14.78,23.63,40.0826
1508126,3.86,10.28,49.17,21.76,14.93,41.4015
1508159,11.88,18.27,35.68,15,19.18,37.9549
1508209,7.52,23.87,21.09,14.26,33.26,39.2838
1508308,20.43,37,15.42,7.56,19.6,32.446
1508357,16.42,15.52,36.43,7.68,23.94,37.0916
1508407,24.36,13.73,28.21,14.24,19.46,35.1227
1600055,2.1,26.4,27.2,16.99,27.32,40.13315
1600105,5.02,18.27,38.07,13.68,24.95,40.2118
1600154,5.97,24.4,39.12,9.11,21.4,38.57635
1600204,10.23,25.02,35.82,12.04,16.89,37.1067
1600212,8.42,27.31,34.95,4.92,24.4,37.4753
1600238,10.9,28.89,40.53,7.85,11.83,35.79585
1600253,6.15,18.57,42.52,3.59,29.17,39.69595
1600279,9.1,21.42,33.97,16.3,19.21,38.3172
1600303,7.83,24.33,39.97,13.63,14.24,37.76825
1600402,6.72,33.68,42.55,5.06,11.98,36.1285
1600501,10.08,13.94,28.91,15.23,31.84,40.00075
1600535,7.37,23.3,32.53,14.2,22.61,38.6673
1600550,11.53,39.89,20.85,14.89,12.85,34.36185
1600600,11.38,21.45,41.94,12.07,13.15,37.05555
1600709,15.65,29.89,31.09,8.32,15.05,34.5624
1600808,14.24,18.74,28.6,14.78,23.64,37.5217
1700251,8.37,23.3,59.34,4.6,4.39,36.6757
1700301,2.99,16.29,40.76,27.32,12.63,40.8286
1700350,4.81,13.91,46.13,16.83,18.31,40.60155
1700400,4.91,29.72,48.5,1.81,15.06,37.30285
1700707,4.18,16.26,52.58,4.84,22.15,40.1631
1701002,6.16,19.43,48.4,10.96,15.04,38.9025
1701051,9.76,29.4,57.99,0,2.85,35.0567
1701101,5.58,25.09,47.13,6.49,15.71,38.06585
1701309,3.2,30.23,39.58,15.65,11.34,38.06755
1701903,5.98,29.43,53.68,6.73,4.18,36.50655
1702000,3.76,18.05,49.21,15.73,13.25,39.87505
1702109,4.37,15.49,52.9,12.95,14.29,40.03595
1702158,6.21,16.24,53.44,6.39,17.73,39.35805
1702208,7.8,19.55,46.61,9.69,16.35,38.46405
1702307,17.71,18.17,40.51,11.23,12.38,35.68765
1702406,16.28,19.68,49.28,8.51,6.24,35.30515
1702554,5.59,22.23,44.87,9.31,18,38.77925
1702703,3.85,33.16,52.49,4.77,5.73,36.56375
1702901,3.91,27.12,48.68,9.05,11.25,38.03615
1703008,2.92,23.53,52.64,12.32,8.59,38.8086
1703057,2.67,12.33,71.18,8.39,5.43,40.16055
1703073,0.86,42.75,35.64,17.48,3.27,36.3622
1703107,4.11,17.35,39.77,25.4,13.38,40.3305
1703206,7.49,27.39,37.8,12.01,15.31,37.40645
1703305,6.89,18.1,58.27,9.14,7.61,38.304
1703602,0.94,16.43,44.18,14.37,24.07,41.59965
1703701,6.7,22.8,53.52,10.51,6.47,37.62985
1703800,7.77,20.36,55.83,8.18,7.87,37.6936
1703826,2.33,29.52,46.77,14.2,7.18,38.0612
1703842,17.64,26.9,50.86,2.34,2.26,33.2893
1703867,7.47,19.5,38.83,14.42,19.79,39.0218
1703883,3.8,15.04,47.43,23.54,10.2,40.4575
1703891,7.29,21.05,55.85,4.59,11.21,37.78835
1703909,1.65,19.06,68.28,4.45,6.57,39.34335
1704105,14.51,24.65,55.35,3.28,2.21,34.542
1704600,12.29,35.06,41.74,7.01,3.9,33.88825
1705102,0.99,25.23,38.9,17.52,17.37,39.9468
1705508,4.84,17.93,45.36,11.76,20.11,39.8922
1705557,5.35,18,28.74,10.9,37.01,40.8832
1705607,4.86,22.93,33.51,22.67,16.03,39.34195
1706001,14.37,28.1,44.07,4.24,9.22,34.5976
1706100,3.23,16.23,56.3,16.25,7.99,39.95165
1706258,2.61,11.69,48.56,13.44,23.7,41.7795
1706506,5.25,24.25,34.05,25.4,11.05,38.809
1707009,7.16,20.29,40.55,14.94,17.06,38.8182
1707108,3.59,22.74,37.64,21.31,14.72,39.57315
1707207,8.36,20.86,60.69,4.49,5.6,37.12425
1707306,2.51,13.17,41.2,10.03,33.09,42.08935
1707405,6.75,27.9,54.64,7.6,3.11,36.4847
1707553,1.85,27.42,53.15,7.25,10.33,38.41835
1707652,6.28,21.25,35.58,23.62,13.27,39.0459
1707702,7.32,21.25,57.81,4.29,9.33,37.60905
1708205,6.77,17.54,38.7,15.43,21.55,39.67205
1708254,3.67,11.72,66.34,10.92,7.36,40.2252
1708304,4.29,35.82,51.87,0.8,7.22,35.9672
1709005,16.02,27.45,48.16,3.27,5.1,33.90105
