"city_code","bolsa.familia_familiesPer100Khab","bolsa.familia_valuePerHab"
1303007,16757.1907618193,50.2696358569877
1303106,11089.4108834074,29.9888437048531
1303205,10959.1857715637,24.1154004317878
1303304,11827.3280299485,33.5211355482764
1303403,13720.6514224707,31.0307246681193
1303502,15602.8003706373,50.0102954802842
1303536,10308.9941839632,20.8942087709143
1303569,8729.42093741566,16.4992952889315
1303601,8725.55255207505,25.1402846239466
1303700,19345.4309786131,56.3231182297935
1303809,11092.090246686,37.7018698972873
1303908,10252.1692663935,30.8379856993817
1303957,10870.1854493581,22.9163338088445
1304005,21578.8899792825,57.6152000872315
1304062,9981.16760828625,19.2303171131766
1304104,14035.9058055491,23.4559920727442
1304203,14067.0687897876,38.6834867750505
1304237,16864.8360437217,44.989069581445
1304260,17038.4047267356,57.4887740029542
1304302,17611.9586614173,41.9250738188976
1304401,15473.6613917191,46.9549533925862
1400027,10808.0650203188,30.1435604876524
1400050,13255.9638942618,28.5127014829142
1400100,4198.26007670091,6.92789312973275
