"city_code","pop.density2010","pop.urbanDensity"
1200385,8.86,1356.86459004211
1200393,1.42,2812.87646209386
1200401,38.03,2912.80571536196
1200427,4.68,3286.31542930923
1200435,0.76,1736.67138621201
1200450,8.69,1964.64844555768
1200500,1.6,3732.40251827782
1200609,1.76,3167.62573915654
1200708,3.01,2924.03931712364
1200807,5.71,1545.72880886427
1300029,2.38,6034.73717059639
1300060,1.99,3829.34184636119
1300086,4.16,7675.58536585366
1300102,2.82,4234.98094555874
1300144,0.33,1658.37881517882
1300201,0.2,8975.73634385201
1300300,4.23,3268.55163331972
1300409,0.21,2175.98014262205
1300508,4.76,2268.00260713704
1300607,3.8,3945.12712201592
1300631,0.9,4369.21651507899
1300680,5.79,3658.45193097781
1300706,1.4,1245.20845153316
1300805,0.79,5559.85839616175
1300839,1.16,4568.95993715632
1300904,0.43,4767.08588588589
1301001,1,3824.51289398281
1301100,5.37,3747.48858366036
1301159,9.09,5623.10480769231
1301209,1.31,5101.92434463967
1301308,1.24,6971.64170489297
1301407,2.04,3403.44173816773
1301506,2.18,2629.22587215601
1301605,1.88,1978.89972634308
1301654,1.84,4534.5115902965
1301704,1.34,4098.92934770015
1301803,1.85,5519.4260953298
1301852,18.42,2807.95998968806
1301902,9.77,4806.93248096963
1301951,0.32,4144.62258652095
1302009,1.94,2964.33716814159
1302108,0.13,2218.53365384615
1302207,0.56,4765.03923182442
1302306,0.26,3199.70476973684
1302405,0.55,4525.76935483871
1302504,11.62,6952.3774149517
1302553,5.73,7386.42814070352
1302603,158.06,4793.46423756395
1302702,0.97,3228.53464566929
1302801,1.04,4586.46370887338
1302900,1.31,3429.48242571396
1303007,1.3,9239.4
1303106,5.47,3288.18971765697
1303205,0.39,3065.69755310567
1303304,0.52,2993.63323325202
1303403,17.14,4984.2751402113
1303502,0.44,5765.91598599767
1303536,1.07,2420.92239358421
1303569,4.42,1510.42822891692
1303601,0.29,4061.53128598848
1303700,1.99,2844.17325766175
1303809,0.35,1465.41750304342
1303908,1.59,2557.63269586675
1303957,1,2522.80654974946
1304005,2.25,2224.09912731006
1304062,16.21,4406.20512820513
1304104,0.21,3935.87970393455
1304203,2.59,5250.70910216718
1304237,2.66,4782.43318430204
1304260,1.16,5124.63390293917
1304302,0.61,3968.55773690524
1304401,6.14,3562.05350978136
1400027,0.33,1221.12410865874
1400050,0.64,1846.3258444619
1400100,49.99,2356.51714092345
1400159,1.35,512.052341137124
1400175,1.81,2446.45298507463
1400209,0.39,1688.17942953492
1400233,0.67,1295.68685300207
1400282,0.6,2513.02180685358
1400308,1.19,1721.88528508023
1400407,1.28,806.659901599016
1400456,1.3,1458.83114382786
1400472,0.72,1246.68654419544
1400506,1.58,1405.74813631523
1400605,4.42,977.137717369578
1400704,1.04,1674.57038961039
1500107,87.61,5673.8386790638
1500131,11.04,2978.92907468295
1500206,12.33,4869.06666666667
1500305,4.19,9736.43792107796
1500347,3.52,1953.79885496183
1500404,2.23,3089.36182813003
1500503,0.46,3613.42402917046
1500602,0.62,2002.80063570853
1500701,3.58,7298.95646164478
1500800,2477.56,6574.00198208301
1500859,1.73,2161.25098596554
1500909,37.1,2893.6312849162
1500958,14.65,3305.89741347905
1501006,0.93,1825.54010268112
1501105,5.43,7678.02940461725
1501204,9.81,3787.70590158293
1501253,1.16,764.961090225564
1501303,76.21,828.017913707282
1501402,1315.27,7154.43386069921
1501451,3.71,404.399140708915
1501501,275,1707.85601456816
1501576,5.43,3182.73596910629
1501600,23.23,2124.34930693069
1501709,54.13,4773.3042988365
1501725,2.47,1330.19681001413
1501758,5.68,2311.72725298589
1501782,13.32,6159.71212831141
1501808,9.72,6766.84492872807
1501907,25.56,3198.0845731037
1501956,10.76,2946.62911221271
1502004,6.59,5184.30693196406
1502103,39.23,5168.73613445378
1502152,8.49,1522.89182279811
1502202,103.72,2445.29454511834
1502301,17.9,4088.77889201878
1502400,168.29,2794.95024273459
1502509,1.61,1637.30236794171
1502608,18.66,2262.55231788079
1502707,7.81,2785.96755709109
1502756,40.84,2856.34936104958
1502764,0.61,1625.84992420414
1502772,7.72,1784.96923642784
1502806,7.89,4635.04474474474
1502855,8.56,2079.47728306792
1502905,50.98,1300.79488173711
1502939,9.74,3530.65633830649
1502954,10.75,2329.76102830576
1503002,0.69,3497.99503500955
1503044,5.16,1911.67666464278
1503077,15.66,3032.76865203762
1503093,4.33,3110.47445902802
1503101,3.4,4581.51243956044
1503200,45.66,2130.17281769023
1503309,29.08,5288.80372960373
1503408,21.29,2665.26925764192
1503457,9.84,3498.21293557282
1503507,22.74,3035.51498386353
1503606,1.57,2810.85971959672
1503705,6.5,4617.61426978818
1503754,0.26,1048.04188351921
