"city_code","pop.urban","pop.rural"
1718402,87.67,12.33
1718451,84.59,15.41
1718501,52.81,47.19
1718550,43.24,56.76
1718659,91.83,8.17
1718709,40.04,59.96
1718758,38.49,61.51
1718808,90.99,9.01
1718840,53.04,46.96
1718865,66.28,33.72
1718881,59.61,40.39
1718899,43.14,56.86
1718907,64.51,35.49
1719004,64.05,35.95
1720002,64.43,35.57
1720101,58.94,41.06
1720150,64.79,35.21
1720200,24.3,75.7
1720259,55.22,44.78
1720309,76.65,23.35
1720499,62.13,37.87
1720655,80.13,19.87
1720804,53.29,46.71
1720853,63.49,36.51
1720903,70.61,29.39
1720937,80.05,19.95
1720978,53.2,46.8
1721000,97.11,2.89
1721109,43.87,56.13
1721208,80.99,19.01
1721257,59.09,40.91
1721307,50.79,49.21
1722081,53.44,46.56
1722107,84.8,15.2
2100055,75.19,24.81
2100105,54.77,45.23
2100154,27.05,72.95
2100204,29.28,70.72
2100303,56.92,43.08
2100402,41.43,58.57
2100436,78.76,21.24
2100477,31.65,68.35
2100501,65.28,34.72
2100550,75.28,24.72
2100600,40.36,59.64
2100709,27.74,72.26
2100808,51.4,48.6
2100832,61.25,38.75
2100873,38.48,61.52
2100907,28.34,71.66
2100956,39.59,60.41
2101004,61.37,38.63
2101103,41.23,58.77
2101202,77.85,22.15
2101251,22.27,77.73
2101301,52.31,47.69
2101350,26.9,73.1
2101400,87.12,12.88
2101509,57.95,42.05
2101608,62.35,37.65
2101707,40.64,59.36
2101731,50.02,49.98
2101772,42.91,57.09
2101806,51.44,48.56
2101905,32.47,67.53
2101939,38.76,61.24
2101970,70.69,29.31
2102002,41.96,58.04
2102036,47.19,52.81
2102077,28.22,71.78
2102101,36.99,63.01
2102150,51.16,48.84
2102200,31.09,68.91
2102309,74.3,25.7
2102325,54.86,45.14
2102358,28.04,71.96
2102374,44.9,55.1
2102408,36.68,63.32
2102507,23.36,76.64
2102556,79.44,20.56
2102606,64.37,35.63
2102705,63.38,36.62
2102754,52.44,47.56
2102804,67.77,32.23
2102903,73.73,26.27
2103000,76.41,23.59
2103109,23.28,76.72
2103125,51.81,48.19
2103158,56.28,43.72
2103174,31.34,68.66
2103208,72.1,27.9
2103257,44.12,55.88
2103307,68.66,31.34
2103406,82.84,17.16
2103505,65.36,34.64
2103554,47.58,52.42
2103604,69.76,30.24
2103703,68.2,31.8
2103752,83.37,16.63
2103802,67.29,32.71
2103901,50.15,49.85
2104008,54.38,45.62
2104057,71.94,28.06
2104073,23.71,76.29
2104081,16.3,83.7
2104099,33.31,66.69
2104107,60.27,39.73
2104206,62.95,37.05
2104305,63.22,36.78
2104404,44.45,55.55
2104503,64.97,35.03
2104552,43.77,56.23
2104602,29.33,70.67
2104628,70.7,29.3
2104651,36,64
2104677,62.77,37.23
2104701,47.43,52.57
2104800,59.65,40.35
2104909,57.19,42.81
2105005,40.12,59.88
2105104,31.08,68.92
2105153,49.46,50.54
2105203,60.36,39.64
2105302,94.76,5.24
2105351,30.05,69.95
2105401,55.82,44.18
2105427,70.95,29.05
2105450,43.87,56.13
2105476,16.31,83.69
2105500,75.25,24.75
2105609,38.62,61.38
2105658,70.12,29.88
2105708,65.2,34.8
2105807,36.47,63.53
2105906,32.78,67.22
2105922,40.73,59.27
2105948,62.21,37.79
2105963,52.29,47.71
2105989,46.14,53.86
2106003,59.47,40.53
2106102,55.84,44.16
2106201,84.53,15.47
2106300,50.96,49.04
2106326,82.64,17.36
2106359,14.38,85.62
2106375,64.13,35.87
2106409,47.08,52.92
2106508,40.59,59.41
2106607,43.96,56.04
2106631,33.92,66.08
2106672,21.68,78.32
2106706,45.83,54.17
2106755,79.91,20.09
2106805,63.52,36.48
2106904,37.05,62.95
2107001,54.46,45.54
2107100,37.79,62.21
2107209,35.61,64.39
2107258,45.24,54.76
2107308,62.66,37.34
2107357,61.99,38.01
2107407,51.57,48.43
2107456,45.38,54.62
2107506,74.97,25.03
2107605,18.43,81.57
2107704,78.33,21.67
2107803,39.12,60.88
2107902,59.58,40.42
2108009,68.12,31.88
2108058,32.05,67.95
2108108,53.91,46.09
2108207,83.49,16.51
2108256,25.91,74.09
2108306,48.42,51.58
2108405,26.57,73.43
2108454,36.56,63.44
2108504,71.96,28.04
2108603,59.5,40.5
2108702,56.59,43.41
2108801,63.51,36.49
2108900,42.51,57.49
2109007,78.34,21.66
2109056,39.98,60.02
2109106,71.54,28.46
2109205,35.7,64.3
2109239,61.25,38.75
2109270,24.98,75.02
2109304,42.75,57.25
2109403,30.74,69.26
2109452,63.34,36.66
2109502,50.5,49.5
2109551,50.25,49.75
2109601,58.75,41.25
2109700,51.69,48.31
2109759,32.47,67.53
2109809,50.06,49.94
2109908,94.71,5.29
2110005,34.83,65.17
2110039,55.6,44.4
2110104,48.44,51.56
2110203,46.08,53.92
2110237,15.8,84.2
2110278,26.27,73.73
2110302,40.12,59.88
2110401,62.08,37.92
2110500,57.71,42.29
2110609,44.57,55.43
2110658,71.04,28.96
2110708,51.52,48.48
2110807,34.62,65.38
2110856,47.13,52.87
2110906,33.79,66.21
2111003,26.83,73.17
2111029,51.37,48.63
2111052,48.79,51.21
2111078,38.55,61.45
2111102,82.51,17.49
2111201,23.13,76.87
2111250,40.1,59.9
2111300,94.45,5.55
2111409,39.18,60.82
2111508,73.45,26.55
2111532,89.06,10.94
2111573,55.07,44.93
2111607,71.72,28.28
2111631,28.42,71.58
2111672,47.76,52.24
2111706,26.03,73.97
2111722,30.31,69.69
2111748,60.1,39.9
2111763,48.56,51.44
2111789,38.64,61.36
2111805,30.23,69.77
2111904,47.34,52.66
2111953,62.04,37.96
2112001,59.62,40.38
2112100,62.4,37.6
2112209,86.92,13.08
2112233,85.32,14.68
2112274,48.82,51.18
2112308,45.75,54.25
2112407,32.21,67.79
2112456,45.32,54.68
2112506,35.39,64.61
2112605,70.7,29.3
2112704,54.01,45.99
2112803,54.38,45.62
2112852,54.97,45.03
2112902,47.45,52.55
2113009,51.1,48.9
2114007,61.52,38.48
2200053,13.35,86.65
2200103,70.66,29.34
2200202,88.38,11.62
2200251,36.36,63.64
2200277,55.06,44.94
2200301,49.2,50.8
2200400,70.55,29.45
2200459,36.61,63.39
2200509,51.19,48.81
2200608,78.15,21.85
2200707,49.49,50.51
2200806,73.18,26.82
2200905,59.35,40.65
2200954,9.75,90.25
2201002,51.9,48.1
2201051,45.02,54.98
2201101,60.67,39.33
2201150,61.69,38.31
2201176,52.75,47.25
2201200,49.33,50.67
2201309,57.98,42.02
2201408,72.48,27.52
2201507,37.27,62.73
2201556,32.9,67.1
2201572,48.81,51.19
2201606,63.17,36.83
2201705,73.21,26.79
2201739,27.9,72.1
2201770,24.21,75.79
2201804,39.96,60.04
2201903,77.88,22.12
2201919,31.18,68.82
2201929,30.32,69.68
2201945,43.05,56.95
2201960,43.72,56.28
2201988,37.04,62.96
2202000,53.97,46.03
2202026,30.36,69.64
2202059,16.69,83.31
2202075,33.26,66.74
2202083,38.8,61.2
2202091,29.31,70.69
2202109,33.41,66.59
2202117,26.08,73.92
2202133,28.06,71.94
2202174,21.02,78.98
2202208,74.2,25.8
2202251,44.33,55.67
2202307,55.59,44.41
2202406,57.95,42.05
2202455,29.96,70.04
2202505,39.44,60.56
2202539,17.59,82.41
2202554,32.72,67.28
2202604,62.6,37.4
2202653,19.17,80.83
2202703,46.17,53.83
2202711,58.94,41.06
2202729,31.98,68.02
2202737,30.78,69.22
2202752,80.35,19.65
2202778,35.57,64.43
2202802,52.8,47.2
2202851,32.83,67.17
2202901,61.77,38.23
2203008,37.61,62.39
2203107,72.76,27.24
2203206,65.83,34.17
2203230,19.64,80.36
2203255,31.82,68.18
2203271,28.32,71.68
2203305,81.89,18.11
2203354,35.49,64.51
2203404,54.38,45.62
2203420,22.47,77.53
2203453,21.83,78.17
2203503,69.76,30.24
2203602,81.91,18.09
2203701,61.32,38.68
2203750,26.97,73.03
2203800,45.51,54.49
2203859,34.69,65.31
2203909,86.62,13.38
2204006,62.56,37.44
2204105,48.11,51.89
2204154,40.26,59.74
2204204,46.31,53.69
2204303,65.56,34.44
2204352,22.21,77.79
2204402,57.59,42.41
2204501,95.85,4.15
2204550,28.97,71.03
2204600,82.15,17.85
2204659,83.52,16.48
2204709,49.03,50.97
2204808,61.61,38.39
2204907,22.69,77.31
2205003,22.77,77.23
2205102,55.71,44.29
2205151,17.9,82.1
2205201,47.17,52.83
2205250,27.45,72.55
2205276,19.07,80.93
2205300,56.24,43.76
2205359,23.68,76.32
2205409,30.8,69.2
2205458,32.88,67.12
2205508,58.25,41.75
2205516,31.09,68.91
2205524,30.11,69.89
2205532,19.17,80.83
2205540,59.56,40.44
2205557,37.99,62.01
2205565,21.98,78.02
2205573,32.58,67.42
2205581,43.28,56.72
2205599,35.53,64.47
2205607,74.93,25.07
2205706,44.52,55.48
