"votes_pct.JB","totalVotos","city_UF","city_code"
0.197714190372904,11987,"CARAUARI (am)",1301001
0.305343511450382,13624,"CAREIRO (am)",1301100
0.311685805268745,31089,"COARI (am)",1301209
0.358159783503942,8499,"CODAJÁS (am)",1301308
0.262006180572956,11973,"EIRUNEPÉ (am)",1301407
0.22390438247012,6275,"ENVIRA (am)",1301506
0.173486606201223,9482,"FONTE BOA (am)",1301605
0.422557894152274,18007,"HUMAITÁ (am)",1301704
0.351610523727563,4067,"SANTA ISABEL DO RIO NEGRO (am)",1303601
0.20606250981624,6367,"IPIXUNA (am)",1301803
0.34526636498051,44638,"ITACOATIARA (am)",1301902
0.391741548994437,4674,"ITAPIRANGA (am)",1302009
0.253125,2560,"JAPURÁ (am)",1302108
0.295216741405082,4014,"JURUÁ (am)",1302207
0.184990568579898,7422,"JUTAÍ (am)",1302306
0.24343339587242,14924,"LÁBREA (am)",1302405
0.394777163413497,45033,"MANACAPURU (am)",1302504
0.657187024985579,1045363,"MANAUS (am)",1302603
0.285665470698787,17559,"MANICORÉ (am)",1302702
0.168720953728026,4949,"MARAÃ (am)",1302801
0.156958670947358,19623,"MAUÉS (am)",1302900
0.146671250143234,8727,"NHAMUNDÁ (am)",1303007
0.195367768194592,10319,"NOVA OLINDA DO NORTE (am)",1303106
0.189296468655899,7306,"NOVO ARIPUANÃ (am)",1303304
0.174993648911847,47236,"PARINTINS (am)",1303403
0.264179104477612,6030,"PAUINI (am)",1303502
0.172049689440994,9660,"SANTO ANTÔNIO DO IÇÁ (am)",1303700
0.12337244815946,12442,"SÃO PAULO DE OLIVENÇA (am)",1303908
0.165052631578947,4750,"SILVES (am)",1304005
0.31723692704971,7745,"TAPAUÁ (am)",1304104
0.301771646262529,27037,"TEFÉ (am)",1304203
0.224220971392097,17233,"SÃO GABRIEL DA CACHOEIRA (am)",1303809
0.210992907801418,7332,"URUCARÁ (am)",1304302
0.18984718984719,7722,"URUCURITUBA (am)",1304401
0.206741573033708,6675,"ALVARÃES (am)",1300029
0.199246349505417,4246,"AMATURÁ (am)",1300060
0.302838577291382,5848,"ANAMÃ (am)",1300086
0.244100786561792,7501,"BERURI (am)",1300631
0.108108108108108,7474,"BOA VISTA DO RAMOS (am)",1300680
0.286807278742763,4836,"CAAPIRANGA (am)",1300839
0.377391828995001,23204,"IRANDUBA (am)",1301852
0.164995224450812,4188,"ITAMARATI (am)",1301951
0.223017902813299,7820,"MANAQUIRI (am)",1302553
0.42229774756764,15006,"PRESIDENTE FIGUEIREDO (am)",1303536
0.469512797707283,10119,"RIO PRETO DA EVA (am)",1303569
0.425939050318923,4233,"SÃO SEBASTIÃO DO UATUMÃ (am)",1303957
0.308745080891998,22870,"TABATINGA (am)",1304062
0.227776615770759,4781,"UARINI (am)",1304260
0.157714463646271,6423,"TONANTINS (am)",1304237
0.34187643020595,2185,"PRACUÚBA (ap)",1600550
0.35283907760972,4033,"AMAPÁ (ap)",1600105
0.412159892509237,8931,"PORTO GRANDE (ap)",1600535
0.347329037622116,4811,"CALÇOENE (ap)",1600204
0.330687830687831,3780,"ITAUBAL (ap)",1600253
0.551489350026979,218686,"MACAPÁ (ap)",1600303
0.289750090546903,2761,"CUTIAS (ap)",1600212
0.305851305851306,10989,"MAZAGÃO (ap)",1600402
0.402450009007386,5551,"PEDRA BRANCA DO AMAPARI (ap)",1600154
0.328542658366899,10924,"OIAPOQUE (ap)",1600501
0.490968801313629,2436,"SERRA DO NAVIO (ap)",1600055
0.436349289847449,3802,"FERREIRA GOMES (ap)",1600238
0.271813686393364,6269,"VITÓRIA DO JARI (ap)",1600808
0.410892409452179,18747,"LARANJAL DO JARI (ap)",1600279
0.531509865356931,59045,"SANTANA (ap)",1600600
0.363068379035057,5762,"TARTARUGALZINHO (ap)",1600709
0.587978684499243,38282,"LUÍS EDUARDO MAGALHÃES (ba)",2919553
0.494088687029782,57686,"EUNÁPOLIS (ba)",2910727
0.163979892529034,5769,"IUIU (ba)",2917334
0.212961387991155,5879,"JABORANDI (ba)",2917359
0.367333333333333,3000,"JUSSARI (ba)",2918555
0.121870960159831,8509,"AMÉRICA DOURADA (ba)",2901155
0.272469252601703,4228,"ARATACA (ba)",2902252
0.156214203894616,6984,"BARRO ALTO (ba)",2903235
0.143463325924429,9898,"BARROCAS (ba)",2903276
0.193230040461857,10133,"BURITIRAMA (ba)",2904753
0.242772667542707,6088,"CAPELA DO ALTO ALEGRE (ba)",2906857
0.320785597381342,15275,"CAPIM GROSSO (ba)",2906873
0.136537541846007,8364,"CANUDOS (ba)",2906824
0.250164393744461,34977,"DIAS D'ÁVILA (ba)",2910057
0.113370998116761,10620,"FÁTIMA (ba)",2910750
0.20893771331058,9376,"FILADÉLFIA (ba)",2910859
0.271344624956792,2893,"GAVIÃO (ba)",2911253
0.126955338925414,4411,"GUAJERU (ba)",2911659
0.109446175976984,8342,"HELIÓPOLIS (ba)",2911857
0.297353816456205,12433,"JOÃO DOURADO (ba)",2918357
0.392696122633003,4436,"ABAÍRA (ba)",2900108
0.21794333683106,9530,"ABARÉ (ba)",2900207
0.198921832884097,7420,"ACAJUTIBA (ba)",2900306
0.138963621476196,8549,"ADUSTINA (ba)",2900355
0.160398087113868,7737,"ÁGUA FRIA (ba)",2900405
0.219199378157792,5146,"ÉRICO CARDOSO (ba)",2900504
0.184753014391287,2571,"AIQUARA (ba)",2900603
0.324707235466332,76512,"ALAGOINHAS (ba)",2900702
0.240848343986055,10326,"ALCOBAÇA (ba)",2900801
0.19904912836767,3155,"ALMADINA (ba)",2900900
0.332190863814063,18673,"AMARGOSA (ba)",2901007
0.196360299740021,13078,"AMÉLIA RODRIGUES (ba)",2901106
0.206663957740756,12305,"ANAGÉ (ba)",2901205
0.125216637781629,6924,"ANDARAÍ (ba)",2901304
0.0791740282685512,9056,"ANDORINHA (ba)",2901353
0.177342047930283,9180,"ANGICAL (ba)",2901403
0.138292873923258,6385,"ANGUERA (ba)",2901502
0.201759285115889,7162,"ANTAS (ba)",2901601
0.106096866096866,8775,"ANTÔNIO CARDOSO (ba)",2901700
0.227359638449505,5753,"ANTÔNIO GONÇALVES (ba)",2901809
0.195455626933143,8406,"APORÁ (ba)",2901908
0.172236145920356,7182,"ARAÇÁS (ba)",2902054
0.192368480469632,8858,"ARACATU (ba)",2902005
0.233756345177665,3940,"APUAREMA (ba)",2901957
0.126992704674412,25907,"ARACI (ba)",2902104
0.123757763975155,6440,"ARAMARI (ba)",2902203
0.15140974002197,5462,"ARATUÍPE (ba)",2902302
0.197696139476961,6424,"AURELINO LEAL (ba)",2902401
0.217821782178218,8282,"BAIANÓPOLIS (ba)",2902500
0.257806973218797,9895,"BAIXA GRANDE (ba)",2902609
0.208412741628097,7346,"BANZAÊ (ba)",2902658
0.150352258599254,24130,"BARRA (ba)",2902708
0.232056005895357,13570,"BARRA DA ESTIVA (ba)",2902807
0.196705882352941,19125,"BARRA DO CHOÇA (ba)",2902906
0.0919716646989375,8470,"BARRA DO MENDES (ba)",2903003
0.256841282251759,2558,"BARRA DO ROCHA (ba)",2903102
0.405280912576375,73813,"BARREIRAS (ba)",2903201
0.28758855943322,3811,"BARRO PRETO (ba)",2903300
0.269574721780604,10064,"BELMONTE (ba)",2903409
0.256213948610383,9535,"BELO CAMPO (ba)",2903508
0.0944839474251239,9282,"BIRITINGA (ba)",2903607
0.118659903897491,7492,"BOA NOVA (ba)",2903706
0.26273975712178,8811,"BOA VISTA DO TUPIM (ba)",2903805
0.199230868665977,30944,"BOM JESUS DA LAPA (ba)",2903904
0.0971262277191706,5498,"BOM JESUS DA SERRA (ba)",2903953
0.238578680203046,6698,"BONINAL (ba)",2904001
0.144628099173554,8470,"BONITO (ba)",2904050
0.0798938409444495,10927,"BOQUIRA (ba)",2904100
0.150314465408805,6360,"BOTUPORÃ (ba)",2904209
0.22804178313962,6797,"BREJÕES (ba)",2904308
0.23731778425656,5145,"BREJOLÂNDIA (ba)",2904407
0.263777596075225,6115,"BROTAS DE MACAÚBAS (ba)",2904506
0.321790341578327,38205,"BRUMADO (ba)",2904605
0.552640865780496,8501,"BUERAREMA (ba)",2904704
0.334212261041529,4551,"CAATIBA (ba)",2904803
0.134948866162739,8996,"CABACEIRAS DO PARAGUAÇU (ba)",2904852
0.16166047924401,17778,"CACHOEIRA (ba)",2904902
0.307436089599467,12009,"CACULÉ (ba)",2905008
