"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1300805,2.83,5.06,9.59,1.62,61.89,3.82,11.56,1.62,1.74,0.27,0,0,98.92,1.08
1300839,4.02,7.93,7.55,0.78,60.01,3.02,11.51,3.02,1.83,0.32,0,0,99.76,0.24
1300904,2.84,9.1,6.01,0.42,62.61,2.34,13.35,1.91,0.78,0.3,0,0.34,99.15,0.85
1301001,0.42,7.78,6.73,3.93,59.23,6.18,11.35,2.79,1.37,0.23,0,0,99.53,0.47
1301100,2.58,4.52,8.99,3.24,62.98,2.39,12.04,1.3,1.55,0.43,0,0,98.36,1.64
1301159,2.28,7.97,8.56,0.68,57.25,4.91,12.86,3.08,2.03,0.38,0,0,98.96,1.04
1301209,1.77,6.27,4.78,2.76,61.98,3.5,12.78,1.6,4.1,0.21,0.14,0.12,96.98,3.02
1301308,1.02,4.96,4.82,1.48,66.71,2.83,12.87,2.47,2.61,0.16,0.07,0,98.34,1.66
1301407,1.83,7.81,8.1,2.75,61.42,4.01,10.19,2.59,1.01,0.17,0.11,0,98.26,1.74
1301506,3.98,7.98,8.34,2.68,59.47,4.28,9.97,2.15,1.16,0,0,0,99.29,0.71
1301605,5.97,9.07,6.57,1.99,57.05,4.28,10.89,2.14,1.84,0.2,0,0,98.84,1.16
1301654,2.12,8.37,9.92,4.32,56.81,4.17,8.55,1.98,3.42,0.34,0,0,98.28,1.72
1301704,1.04,7.53,8.64,1.44,58.58,2.79,12.24,1.7,5.99,0,0,0.06,96.7,3.3
1301803,2.36,4.34,9.19,2.02,63.63,2.43,11.72,2.66,1.36,0.29,0,0,99.59,0.41
1301852,1.91,6.64,9.59,1.14,58.79,4.69,9.68,3.27,3.21,1.06,0,0,92.84,7.16
1301902,2.17,5.43,7.91,1.63,54.67,6,13.23,3.56,4.88,0.53,0,0,93.05,6.95
1301951,5.95,12.31,7.25,11.64,50.83,2.25,8.25,0.36,1.16,0,0,0,100,0
1302009,3.13,7.02,8.42,2.08,52.64,4.09,15.29,2.34,4.1,0.88,0,0,98.62,1.38
1302108,8.15,5.27,10.65,7.67,51.01,2.27,11.77,0.51,2.2,0.41,0.1,0,99.48,0.52
1302207,4.3,9.65,10.74,1.48,57.55,3.06,8.27,1.92,2.85,0.17,0,0,99.33,0.67
1302306,2.26,10.03,9.34,4.54,59.87,3.55,7.63,2.01,0.64,0.14,0,0,99.46,0.54
1302405,2.79,4.92,7.63,3.77,65.07,2.99,8.9,1.56,2.19,0.18,0,0,99.34,0.66
1302504,0.72,4.58,5.83,1.19,63.56,3.19,14.49,2.19,4.05,0.13,0.06,0,95.07,4.93
1302553,1.38,9.22,12.58,0.99,56.18,2.47,13.51,1.83,1.51,0.33,0,0,99.35,0.65
1302603,1.62,6.88,5.07,1.04,47.33,3.74,15.71,3.81,13.26,1.11,0.29,0.13,75.98,24.02
1302702,2.9,7.78,7.82,3.58,58,2.74,13.74,1.59,1.77,0.09,0,0,99.45,0.55
1302801,6.29,9.96,9.59,3.93,51.71,4.92,9.01,1.99,2.45,0.15,0,0,99.73,0.27
1302900,1.07,6.11,5.93,1.22,65.61,3.21,12.44,1.4,2.59,0.34,0.08,0,96.47,3.53
1303007,2.31,6.7,5.98,0.67,62.06,3.91,14.92,1.35,1.84,0.26,0,0,99.23,0.77
1303106,2.61,9.44,10.93,1.08,56.12,3.94,10.97,3.17,1.47,0.27,0,0,97.58,2.42
1303205,1.95,6.1,8.26,0.81,60.53,3.32,12.26,1.1,5.23,0.44,0,0,98.13,1.87
1303304,2.46,7.75,6.97,2.22,61.53,4.11,10.1,2.63,2.01,0.21,0,0,99.15,0.85
1303403,2.26,8.96,5.42,0.84,53.78,3.52,15.7,2.87,6.39,0.24,0,0.02,98.46,1.54
