"city_code","time.5min","time.6_30min","time.30_60min","time.1_2h","time.2hplus","time.avg"
3152303,23.56,54.9,17.75,3.27,0.52,22.6145
3152402,26.94,57.46,12.31,2.57,0.71,20.3943
3152501,13.07,66.78,17.39,2.24,0.52,23.1394
3152600,24.39,63.12,10.38,1.58,0.53,19.3101
3152709,20.59,54.77,20.04,4.41,0.18,24.0911
3152808,15.45,56.22,17.56,8.5,2.28,29.1801
3152907,16.75,58.26,19.85,4.64,0.51,25.0448
3153004,27.81,54.05,15.46,1.68,0.99,20.7765
3153103,21.97,54.46,19.85,3.56,0.16,23.2298
3153202,18.95,47.37,30.52,2.87,0.28,26.1271
3153301,33.81,53.36,12.27,0.57,0,17.3298
3153400,25.61,49.59,16.68,7.48,0.63,25.2007
3153509,26.59,58.77,11.85,2.8,0,19.7606
3153608,13.8,54.18,26.21,5.53,0.29,27.5619
3153707,29.92,58.9,8.85,1.7,0.63,18.3665
3153806,19.89,61.33,14.99,3.79,0,22.1904
3153905,4.31,24.63,41.97,27.27,1.82,50.2624
3154002,25.38,59.06,12.34,3.08,0.14,20.3928
3154101,20.22,66.85,9.77,2.07,1.1,20.6235
3154150,22.25,64.3,11.22,2.08,0.15,19.7875
3154200,21.37,60.37,12.56,4.9,0.8,22.9571
3154309,23.93,63.38,8.54,3.26,0.9,20.4619
3154408,15.14,66.64,13.97,3.8,0.45,22.9987
3154457,39.21,46.39,10.33,4.08,0,18.6312
3154507,24.23,55.19,15.62,4.73,0.23,22.7077
3154606,4.62,21.93,31.67,36.17,5.61,57.7149
3154705,14.89,56.5,25.3,2.97,0.35,25.3925
3154804,8.54,44.08,26.26,19.61,1.51,39.6394
3154903,15.41,61.53,18.83,3,1.23,24.4954
3155009,28.98,57.02,10.51,3.14,0.35,19.6881
3155108,44.22,43.67,5.43,5.9,0.77,18.7491
3155207,13.49,59.48,19.07,7.37,0.59,27.3034
3155306,18.99,59.29,17.94,3.78,0,23.0967
3155405,22.56,58.49,14.53,3.56,0.86,22.4307
3155504,23.98,63.03,11.9,1.08,0,18.8714
3155603,21.68,52.66,20.78,4.03,0.85,24.5608
3155702,13.54,55.91,27.05,2.92,0.58,26.2373
3155801,22.81,66.19,8.52,1.9,0.58,19.2947
3155900,17.27,63.34,15.25,3.09,1.05,23.1682
3156007,19.44,56.77,17.24,5.27,1.28,25.2276
3156106,14.8,62.14,17.64,3.9,1.52,25.1972
3156205,28.73,59.85,9.01,1.94,0.48,18.586
3156304,19.43,74.04,5.96,0.1,0.47,17.6347
3156403,28.47,53.25,11.25,6.66,0.36,22.497
3156452,28.64,53.54,14.73,3.09,0,20.4787
3156502,26.07,54.33,16.13,3.47,0,21.4644
3156601,18.91,64.92,10.99,4.03,1.15,22.5836
3156700,4.4,28.94,44.05,20.54,2.08,46.2337
3156809,16.62,55.31,17.83,6.52,3.73,29.1543
3156908,22.27,63.99,10.46,1.68,1.59,20.7587
3157005,13.84,68.49,12.62,3.47,1.58,23.7182
3157104,18.81,60.43,13.12,5.75,1.89,25.1649
3157203,13.75,52.29,25.78,7.05,1.12,29.3897
3157252,18.66,52.33,22.34,6.25,0.41,26.5224
3157278,29.3,46.01,15.92,7.21,1.57,25.2838
3157302,20.63,44.46,26.16,8.29,0.46,28.8193
3157336,24.2,64.61,10.38,0.7,0.11,18.2728
3157377,23.97,50.21,17.18,7.51,1.13,26.0823
3157401,18.89,52.3,22.49,5.83,0.49,26.314
3157500,26.29,55.11,16.03,1.84,0.72,20.9678
3157609,27.59,51.78,11.12,6.58,2.93,25.1419
3157658,27.09,49.16,16.48,5.95,1.33,24.5703
3157708,14.29,56.53,24.02,4.6,0.56,26.5109
3157807,4.48,28.26,37.1,27.26,2.9,50.0198
3157906,16.47,67.75,12.78,2.7,0.3,21.5595
3158003,15.26,56.43,19.76,7.42,1.13,27.8464
3158102,33.51,49.64,9.06,5.17,2.61,22.4727
3158201,19.99,63.8,11.86,3.68,0.68,21.9485
3158300,22.99,62.61,11.31,2.65,0.45,20.4338
3158409,34.5,48.41,12.82,4.28,0,20.0598
3158508,37.27,45.9,11.44,3.78,1.61,20.6075
3158607,24.93,62.31,11.99,0.77,0,18.5508
3158706,40.09,34.73,13.21,8.68,3.29,25.9604
3158805,15.42,52.46,25.07,6.87,0.18,27.8943
3158904,22.65,60.64,13.3,3.18,0.22,21.1587
3158953,13.42,45.78,35.04,5.35,0.41,29.9864
3159001,21.37,61.16,14.73,2.22,0.52,21.3278
3159100,14.25,52.57,22.9,10,0.27,29.8041
3159209,19.63,54.19,20.36,3.7,2.11,25.7597
3159308,23.23,59.64,11.92,3.79,1.41,22.3637
3159357,19.56,67.81,9.56,2.89,0.18,20.3028
3159407,17.58,51.52,19.82,9.27,1.81,29.5866
3159506,41.6,49.26,8.22,0.62,0.3,15.5638
3159605,15.63,70.9,11.52,1.69,0.27,20.5725
3159704,18.86,57.76,15.59,6.68,1.1,25.6873
3159803,27.59,49.71,15.76,6.39,0.55,23.8303
3159902,11.68,59.61,26.61,2.11,0,25.1873
3160009,19.46,63.5,13.94,2.7,0.41,21.598
3160108,17.13,63.65,15.07,3.41,0.75,23.064
3160207,5.73,74.75,14.55,4.35,0.62,24.948
3160306,29.99,51.45,13.58,3.46,1.51,21.7975
3160405,19.89,68.74,10.35,0.81,0.2,18.9942
3160454,24.73,67.49,4.93,2.41,0.44,18.3002
3160504,21.02,62.64,15.59,0.43,0.33,20.1247
3160603,18.45,50.7,24.31,5.8,0.74,27.096
3160702,10.43,57.62,23.93,6.99,1.02,29.1766
3160801,9.8,54.81,30.95,4.3,0.14,28.3213
3160900,15.03,73.08,10.22,1.66,0,19.9989
3160959,40.74,51.75,5.81,1.52,0.18,15.5505
3161007,15.63,63.21,16.44,4.38,0.34,23.9073
3161056,33.25,54.4,10.77,1.59,0,17.732
3161106,17.75,60.81,16.22,3.94,1.28,24.2143
3161205,10.26,72.46,14.75,2.39,0.14,22.5123
3161304,12.66,66.35,16.73,2.63,1.62,24.4155
3161403,18.83,62.93,14.39,3.84,0,22.2004
3161502,14.41,74.44,9.5,0.94,0.71,20.0927
3161601,28.15,42.13,17.33,10.31,2.09,28.5764
3161650,36.87,50.89,9.82,2.12,0.3,17.6907
3161700,20.07,68.03,8.85,2.58,0.47,20.1174
3161809,23.94,61.15,13.44,1.27,0.19,19.623
3161908,14.76,63.06,17.55,4.44,0.19,24.2103
3162005,13.49,64.47,18.22,2.86,0.96,24.2041
3162104,14.54,46.57,32.02,6.53,0.33,29.7916
3162203,27.04,50.48,18.7,3.24,0.54,22.4174
3162252,24.84,46.7,19.42,7.93,1.11,26.856
3162302,21.18,66.51,11.3,0.15,0.86,19.2828
3162401,17.32,58.81,17.59,5.68,0.58,25.1753
3162450,16.33,62.06,15.57,4.46,1.58,24.9038
3162500,12.04,72.09,13.33,2.21,0.33,21.9617
3162559,18.82,58.27,18.49,4.14,0.29,23.8241
3162575,30.25,63.57,5.25,0.93,0,16.1546
3162609,21.57,64.02,10.47,2.28,1.66,21.3576
3162658,16.79,48.88,28.97,4.79,0.56,27.6574
3162708,19.59,48.88,20.91,9.11,1.51,29.1984
3162807,21.25,61.17,14.38,2.37,0.83,21.6731
3162906,10.73,80.27,7.73,0.99,0.28,19.6906
3162922,8.51,55.31,25.16,9.73,1.28,31.9963
3162948,27.21,61.5,10.52,0.61,0.17,17.9175
3162955,8.92,43.36,27.51,18.94,1.27,39.2003
3163003,23.83,48.87,9.96,14.82,2.51,30.8201
3163102,17.46,71.13,9.05,2.14,0.22,19.9389
3163201,22.57,61.78,13.36,1.79,0.5,20.4719
3163300,34.48,52.16,10.35,2.52,0.49,18.6263
3163409,17.31,53.82,18.11,9.26,1.5,28.8366
3163508,20.18,59.23,17.43,2.67,0.5,22.5169
3163607,20.2,67.98,10.5,1.33,0,19.1684
3163706,16.27,70.24,11.74,1.53,0.22,20.3807
3163805,21.49,63.34,12.37,2.7,0.09,20.5802
3163904,18.48,67.23,12.49,1.04,0.77,20.5059
3164001,12.37,62.61,19.84,4.97,0.22,25.5533
3164100,14.58,48.64,27.07,6.3,3.41,31.4277
3164209,19.56,58.58,16.57,4.58,0.71,23.9529
3164308,22.12,62.65,11.95,2.44,0.84,20.9645
3164407,23.92,57.41,17.16,1.32,0.18,20.6558
3164431,25.61,65.94,6.65,1.79,0,17.7532
3164472,18.9,63.08,15.07,2.33,0.62,21.9219
3164506,17.31,46.57,28.85,6.08,1.2,29.1426
3164605,21.02,69.99,8,0.86,0.13,18.1792
3164704,12.77,68.85,16.07,1.79,0.53,22.51
3164803,19.89,59,17.3,2.79,1.02,23.1345
3164902,28.45,54,15.2,2.35,0,20.0975
3165008,20.45,60.1,14.96,3.92,0.57,22.7845
3165107,19.72,62.23,16.19,1.85,0,21.1379
3165206,22.79,57.62,14.79,4.62,0.17,22.5286
3165305,25.45,66.34,5.88,1.96,0.36,18.0557
3165404,23.54,56.26,16.58,3.35,0.28,22.1158
3165503,25.23,66.91,6.42,1.09,0.35,17.5953
3165537,9.15,33.41,25.81,25.76,5.87,48.3138
3165552,11.33,49.23,25.06,12.13,2.24,34.3099
3165560,19.46,46.12,24.14,6.77,3.5,30.4306
3165578,22.32,63.25,12.49,1.63,0.3,19.9485
3165602,26.44,59.58,11.33,2.65,0,19.5299
3165701,11.87,77.4,8.82,1.91,0,20.2135
3165800,34.7,45.28,16.28,3.75,0,20.5864
3165909,29.1,50.18,14.15,4.48,2.1,23.4069
3166006,13.85,56.74,22.7,5.9,0.82,27.4147
3166105,19.14,56.91,21.71,2.24,0,22.9863
3166204,15.29,59.3,18.92,6.03,0.46,25.9315
3166303,11.07,68.79,16.09,3.43,0.63,24.0192
3166402,31.42,62.18,6.06,0.34,0,15.7964
3166501,18.25,62.52,12.82,2.88,3.52,24.7511
3166600,37.47,53.61,5.87,3.05,0,16.9098
3166709,21.05,58.52,12.79,6.52,1.11,24.5416
3166808,21.54,48.05,21.32,7.24,1.86,28.068
3166907,14.05,65.86,17.53,2.32,0.24,22.8218
3166956,33.07,51.66,14.4,0.87,0,18.2153
3167004,18.96,53.28,18.76,8.02,0.98,27.3744
3167103,20.18,54.61,20.82,3.61,0.77,24.3808
3167202,8.87,60.16,25.06,5.32,0.6,28.0573
3167301,41.27,45.19,11.92,1.36,0.27,17.1097
3167400,29.02,61.97,8.03,0.98,0,17.1011
3167509,8.5,35.92,36.35,18.33,0.89,40.8131
3167608,23.9,54.72,18.25,2.77,0.36,22.1821
3167707,31.85,54.01,9.06,3.8,1.27,20.3353
3167806,15.49,64.73,15.68,4.1,0,23.1719
3167905,30.01,53.02,12.22,4.13,0.62,21.0041
3168002,19.66,67.97,8.96,2.07,1.34,20.7206
