"city_code","metro_class"
3512407,"urban"
3512704,"urban"
3514908,"urban"
3521101,"urban"
3521408,"urban"
3526407,"urban"
3526704,"urban"
3526902,"urban"
3530904,"urban"
3538709,"urban"
3542107,"urban"
3543907,"urban"
3544004,"urban"
3545159,"urban"
3546702,"urban"
3547007,"urban"
3550407,"urban"
3506359,"metro"
3513504,"metro"
3518701,"metro"
3522109,"metro"
3531100,"metro"
3537602,"metro"
3541000,"metro"
3548500,"metro"
3551009,"metro"
3501608,"metro"
3503802,"metro"
3509502,"metro"
3512803,"metro"
3515152,"metro"
3519055,"metro"
3519071,"metro"
3520509,"metro"
3523404,"metro"
3524709,"metro"
3531803,"metro"
3532009,"metro"
3533403,"metro"
3536505,"metro"
3537107,"metro"
3545803,"metro"
3548005,"metro"
3552403,"metro"
3556206,"metro"
3556701,"metro"
3505609,"metro"
3507803,"metro"
3513108,"metro"
3514601,"metro"
3518859,"metro"
3525102,"metro"
3527603,"metro"
3540200,"metro"
3540903,"metro"
3543402,"metro"
3547502,"metro"
3550902,"metro"
3551405,"metro"
3551504,"metro"
3551702,"metro"
3518602,"metro"
3524303,"metro"
3531308,"metro"
3539509,"metro"
3553203,"metro"
3553658,"metro"
3509403,"metro"
3510906,"metro"
3530508,"metro"
3546256,"metro"
3547601,"metro"
3553302,"metro"
3501004,"metro"
3505906,"metro"
3531902,"metro"
3533601,"metro"
3534302,"metro"
3544905,"metro"
3547908,"metro"
3503901,"metro"
3506607,"metro"
3515707,"metro"
3518305,"metro"
3518800,"metro"
3523107,"metro"
3530607,"metro"
3539806,"metro"
3545001,"metro"
3546801,"metro"
3552502,"metro"
3509007,"metro"
3509205,"metro"
3516309,"metro"
3516408,"metro"
3528502,"metro"
3505708,"metro"
3510609,"metro"
3522505,"metro"
3525003,"metro"
3534401,"metro"
3539103,"metro"
3547304,"metro"
3513801,"metro"
3529401,"metro"
3543303,"metro"
3544103,"metro"
3547809,"metro"
3548708,"metro"
3548807,"metro"
3513009,"metro"
3515004,"metro"
3515103,"metro"
3522208,"metro"
3526209,"metro"
3549953,"metro"
3552809,"metro"
3556453,"metro"
3550308,"metro"
3500758,"metro"
3507001,"metro"
3510302,"metro"
3511508,"metro"
3511607,"metro"
3522307,"metro"
3525854,"metro"
3551108,"metro"
3554003,"metro"
3554508,"metro"
3501152,"metro"
3502754,"metro"
3519709,"metro"
3523909,"metro"
3528403,"metro"
3540606,"metro"
3545209,"metro"
3550605,"metro"
3502903,"metro"
3521002,"metro"
3537800,"metro"
3537909,"metro"
3545308,"metro"
3550209,"metro"
3552205,"metro"
3553500,"metro"
3557006,"metro"
3508504,"metro"
3520202,"metro"
3524402,"metro"
3524907,"metro"
3531704,"metro"
3535606,"metro"
3546009,"metro"
3549904,"metro"
3509700,"metro"
3526308,"metro"
3532306,"metro"
3538006,"metro"
3542305,"metro"
3548203,"metro"
3548609,"metro"
3550001,"metro"
3554102,"metro"
3554805,"metro"
3502507,"metro"
3508603,"metro"
3509957,"metro"
3513603,"metro"
3518404,"metro"
3527207,"metro"
3538501,"metro"
3540754,"metro"
3544301,"metro"
3503158,"metro"
3503505,"metro"
3504909,"metro"
3513405,"metro"
3526605,"metro"
3541901,"metro"
3549607,"metro"
3552007,"metro"
3510500,"metro"
3520400,"metro"
3550704,"metro"
3555406,"metro"
4101408,"metro"
4101655,"metro"
4101853,"metro"
4103305,"metro"
4103503,"metro"
4106852,"metro"
4107603,"metro"
4108551,"metro"
4108700,"metro"
4111506,"metro"
4112504,"metro"
4113106,"metro"
4113429,"metro"
4113759,"metro"
4114906,"metro"
4115507,"metro"
4115754,"metro"
4117297,"metro"
4122107,"metro"
4122172,"metro"
4122651,"metro"
4125001,"metro"
4125803,"metro"
4100459,"metro"
4101705,"metro"
4102505,"metro"
4103008,"metro"
4103909,"metro"
4104303,"metro"
4106555,"metro"
4107504,"metro"
4107553,"metro"
4107702,"metro"
4108601,"metro"
4110805,"metro"
4112207,"metro"
4112959,"metro"
4113734,"metro"
4114005,"metro"
4116109,"metro"
4116802,"metro"
4118808,"metro"
4120655,"metro"
4121109,"metro"
4121356,"metro"
4122503,"metro"
4127205,"metro"
4128005,"metro"
4101051,"metro"
4103057,"metro"
4103354,"metro"
4103453,"metro"
4104055,"metro"
4104600,"metro"
4104808,"metro"
4105003,"metro"
4105300,"metro"
4106308,"metro"
4107124,"metro"
4109302,"metro"
4109757,"metro"
4108205,"metro"
4110052,"metro"
4110656,"metro"
4112751,"metro"
4113452,"metro"
4115606,"metro"
4116703,"metro"
4123824,"metro"
4124020,"metro"
4127858,"metro"
4128559,"metro"
4100202,"metro"
4100301,"metro"
4100400,"metro"
4101804,"metro"
4102307,"metro"
4103107,"metro"
4104006,"metro"
4104105,"metro"
4104204,"metro"
4104253,"metro"
4105201,"metro"
4105805,"metro"
4106209,"metro"
4106902,"metro"
4128633,"metro"
4107652,"metro"
4111258,"metro"
4113205,"metro"
4114302,"metro"
4119103,"metro"
4119152,"metro"
4119509,"metro"
4120804,"metro"
4121208,"metro"
4122206,"metro"
4122305,"metro"
4125506,"metro"
4127601,"metro"
4127882,"metro"
4100806,"metro"
4101507,"metro"
4101903,"metro"
4102802,"metro"
4103701,"metro"
4105102,"metro"
4108007,"metro"
4109203,"metro"
4109807,"metro"
4111902,"metro"
4112702,"metro"
4113700,"metro"
4113809,"metro"
4116000,"metro"
4119657,"metro"
4120002,"metro"
4120333,"metro"
4120507,"metro"
4121307,"metro"
4122404,"metro"
4122701,"metro"
4126405,"metro"
4126504,"metro"
4126678,"metro"
4128401,"metro"
4101150,"metro"
4102109,"metro"
4102208,"metro"
4103206,"metro"
4103800,"metro"
4107306,"metro"
4107801,"metro"
4107900,"metro"
4108106,"metro"
4110003,"metro"
4111100,"metro"
4111605,"metro"
4112108,"metro"
4113601,"metro"
4114104,"metro"
4114203,"metro"
4114807,"metro"
4115200,"metro"
4116307,"metro"
4116901,"metro"
4117404,"metro"
4117503,"metro"
4120408,"metro"
4123402,"metro"
4125308,"metro"
4126256,"metro"
4102000,"metro"
4107157,"metro"
4107538,"metro"
4108809,"metro"
4114609,"metro"
4115358,"metro"
4115853,"metro"
4117222,"metro"
4117453,"metro"
4117909,"metro"
4118451,"metro"
4120853,"metro"
4123501,"metro"
4125456,"metro"
4125753,"metro"
4127403,"metro"
4127700,"metro"
4127957,"metro"
4128625,"metro"
4100707,"metro"
4100509,"metro"
4103370,"metro"
4103479,"metro"
4105607,"metro"
4106605,"metro"
4107256,"metro"
4107520,"metro"
4108320,"metro"
4109906,"metro"
4110607,"metro"
4111555,"metro"
4114708,"metro"
4115101,"metro"
4117206,"metro"
4118857,"metro"
4118907,"metro"
4125357,"metro"
4126801,"metro"
4126900,"metro"
4127908,"metro"
4128104,"metro"
4128807,"metro"
4301057,"urban"
4301636,"urban"
4304630,"urban"
4304671,"urban"
4304713,"urban"
4305454,"urban"
4306551,"urban"
4310330,"urban"
4310652,"urban"
4311734,"urban"
4311775,"urban"
4312443,"urban"
4313508,"urban"
4313656,"urban"
4321436,"urban"
4321501,"urban"
4321600,"urban"
4321667,"urban"
4321832,"urban"
4323804,"urban"
4301073,"urban"
4304663,"urban"
4314407,"urban"
4315602,"urban"
4318507,"urban"
4300802,"metro"
4302105,"metro"
4304804,"metro"
4305108,"metro"
4307906,"metro"
4308201,"metro"
4308607,"metro"
4310439,"metro"
4312385,"metro"
4313086,"metro"
4313359,"metro"
4314548,"metro"
4317251,"metro"
4319000,"metro"
4300604,"metro"
4300877,"metro"
4301107,"metro"
4303103,"metro"
4303905,"metro"
4304606,"metro"
4304689,"metro"
4305355,"metro"
4306403,"metro"
4306767,"metro"
4307609,"metro"
4307708,"metro"
4309050,"metro"
4309209,"metro"
4309308,"metro"
4310108,"metro"
4310801,"metro"
4312401,"metro"
4313060,"metro"
4313375,"metro"
4313409,"metro"
4314050,"metro"
4314803,"metro"
4314902,"metro"
4316006,"metro"
4317608,"metro"
4318408,"metro"
4318705,"metro"
4319505,"metro"
4319901,"metro"
4320008,"metro"
4321204,"metro"
4322004,"metro"
4323002,"metro"
4201406,"metro"
4201950,"metro"
4202073,"metro"
4220000,"metro"
4205191,"metro"
4208708,"metro"
4209607,"metro"
4210407,"metro"
4210803,"metro"
4211256,"metro"
4212254,"metro"
4213807,"metro"
4215653,"metro"
4216404,"metro"
4217709,"metro"
4218103,"metro"
4218350,"metro"
4218806,"metro"
4219002,"metro"
4204251,"metro"
4204608,"metro"
4205456,"metro"
4207007,"metro"
4211207,"metro"
4211603,"metro"
4217600,"metro"
4212809,"metro"
4202453,"metro"
4208302,"metro"
4213500,"metro"
4202008,"metro"
4203204,"metro"
4208203,"metro"
4211306,"metro"
4212502,"metro"
4204103,"metro"
4204756,"metro"
4205308,"metro"
4208005,"metro"
4209458,"metro"
4210555,"metro"
4212106,"metro"
4212270,"metro"
4213401,"metro"
4214201,"metro"
4217550,"metro"
4217758,"metro"
4218855,"metro"
4219101,"metro"
4219606,"metro"
4200507,"metro"
4200556,"metro"
4201653,"metro"
4204202,"metro"
4204350,"metro"
4204400,"metro"
4206652,"metro"
4211405,"metro"
4211454,"metro"
4211876,"metro"
4212908,"metro"
4213153,"metro"
4216008,"metro"
4217303,"metro"
4217501,"metro"
4219507,"metro"
4219705,"metro"
4200705,"metro"
4200903,"metro"
4201109,"metro"
4203709,"metro"
4205704,"metro"
4209805,"metro"
4210209,"metro"
4211504,"metro"
4212304,"metro"
4214300,"metro"
4215901,"metro"
4216305,"metro"
4218004,"metro"
4200606,"metro"
4201208,"metro"
4202305,"metro"
4205407,"metro"
4206009,"metro"
4211900,"metro"
4215703,"metro"
4216602,"metro"
4217253,"metro"
4201000,"metro"
4202438,"metro"
4202503,"metro"
4202602,"metro"
4203402,"metro"
4203253,"metro"
4204178,"metro"
4204806,"metro"
4205555,"metro"
4211751,"metro"
4211892,"metro"
4212056,"metro"
4213302,"metro"
4213351,"metro"
4215059,"metro"
4215505,"metro"
4216057,"metro"
4216503,"metro"
4216800,"metro"
4218905,"metro"
4218954,"metro"
4204558,"metro"
4209300,"metro"
4201505,"metro"
4202800,"metro"
4206108,"metro"
4207205,"metro"
4207304,"metro"
4208807,"metro"
4209409,"metro"
4211702,"metro"
4212403,"metro"
4212650,"metro"
4214904,"metro"
4215455,"metro"
4215604,"metro"
4217006,"metro"
4217105,"metro"
