"city_code","pop.1rooms","pop.2rooms","pop.3rooms","pop.4rooms","pop.5rooms","pop.6rooms","pop.7rooms","pop.8rooms","pop.9rooms","pop.10plusrooms","pop.room.avg"
1711803,0.28,4.78,11.54,17.46,32.82,15.05,6.56,5.93,2.81,2.78,5.1515
1711902,4.71,9.21,9.79,19.3,24.05,15.86,8.73,4.47,1.6,2.28,4.7918
1711951,1.83,3.06,9.24,25.97,21.54,21.12,9.27,5.03,1.87,1.08,5.0673
1712009,0.23,4.57,10.18,26.1,23.35,15.7,9.4,4.34,3.97,2.16,5.1311
1712157,2.31,2.49,4.37,12.55,21.28,21.71,18.23,8.31,5.62,3.12,5.8313
1712405,1.13,2.74,9.02,21.08,26.57,15.14,11.96,5.96,3.16,3.25,5.3402
1712454,1.01,2.02,11.39,27.29,18.6,15.2,10.65,7.57,2.69,3.57,5.276
1712504,0.73,3.3,7.55,22.28,32.08,14.91,7.18,6.96,2.54,2.47,5.2246
1712702,0.38,7.5,11.43,12.29,34.54,18.08,6.09,4.05,3.85,1.77,5.0739
1712801,0.4,3.07,14.62,29.78,26.62,12.04,9.28,2.85,0.79,0.56,4.7533
1713205,0.51,2.55,7.63,14.16,27.69,19.68,11.39,7.03,4.49,4.87,5.6675
1713304,0.49,2.24,4.98,15.71,23.22,21.27,15.51,8.46,4.27,3.85,5.7965
1713601,0.97,3.62,6.21,17.52,21.07,22.39,14.46,7.59,2.72,3.45,5.5753
1713700,0,2.24,6.89,22.29,29.5,19.88,7.93,5.88,1.76,3.63,5.3578
1713809,1.63,3.95,8.09,19.53,30.84,16.74,9,4.89,4,1.33,5.1798
1713957,0.75,3.44,11.72,30.09,17.43,16.34,10.92,4.78,1.61,2.91,5.0661
1714203,1.54,3.51,7.39,17.51,17.83,20.65,14.53,5.96,5.1,5.97,5.6881
1714302,0.27,2.12,2.9,13.94,21.26,26.39,15.76,7.76,4.54,5.06,5.9747
1714880,0.48,2.97,10.09,19.18,25.35,20.66,11.59,5.52,1.93,2.23,5.2908
1715002,0,0.46,5.47,13.14,29.92,22.49,16.01,6.79,3.73,2,5.7439
1715101,0.44,2.11,4.07,12.27,29.72,18.41,12.34,8.35,6.18,6.11,5.9491
