"city_code","pop.residPerHouse"
2107209,4.91
2107258,4.1
2107308,3.8
2107357,4.22
2107407,3.83
2107456,4.04
2107506,3.87
2107605,3.79
2107704,3.79
2107803,4
2107902,3.83
2108009,3.85
2108058,4.96
2108108,4.21
2108207,3.69
2108256,4.26
2108306,4.33
2108405,3.83
2108454,3.79
2108504,4.01
2108603,4
2108702,4.08
2108801,4.16
2108900,3.71
2109007,3.8
2109056,3.86
2109106,3.75
2109205,4.63
2109239,4.32
2109270,4.27
2109304,4.26
2109403,4.68
2109452,4.02
2109502,3.83
2109551,3.83
2109601,4.18
2109700,4.01
2109759,4.03
2109809,4.43
2109908,3.81
2110005,4.23
2110039,4.2
2110104,4.59
2110203,4.08
2110237,4.66
2110278,5.31
2110302,3.84
2110401,4.54
2110500,4.21
2110609,4.21
2110658,4.15
2110708,3.79
2110807,3.88
2110856,3.82
2110906,3.69
2111003,3.93
2111029,4.68
2111052,3.76
2111078,4.04
2111102,3.54
2111201,3.83
2111250,4
2111300,3.65
2111409,3.85
2111508,3.98
2111532,3.99
2111573,3.98
2111607,3.93
2111631,4.35
2111672,4.52
2111706,4.05
2111722,4.78
2111748,3.97
2111763,3.92
2111789,3.99
2111805,4.14
2111904,3.87
2111953,3.8
2112001,4.01
2112100,4.28
2112209,3.83
2112233,3.71
2112274,4.08
2112308,3.75
2112407,4.34
2112456,4.37
2112506,4.64
2112605,4.68
2112704,4.44
2112803,4
2112852,4.1
2112902,4.12
2113009,3.84
2114007,4.22
2200053,3.6
2200103,3.32
2200202,3.48
2200251,3.22
2200277,3.46
2200301,3.44
2200400,3.74
2200459,3.9
2200509,3.52
2200608,3.21
2200707,3.54
2200806,3.49
2200905,3.58
2200954,3.65
2201002,3.75
2201051,3.97
2201101,3.57
2201150,4.16
2201176,3.27
2201200,3.96
2201309,4.06
2201408,3.57
2201507,3.72
2201556,4.03
2201572,3.52
2201606,3.57
2201705,3.64
2201739,3.81
2201770,4.12
2201804,3.15
2201903,3.92
2201919,3.94
2201929,3.55
2201945,3.83
2201960,3.65
2201988,3.34
2202000,3.91
2202026,3.88
2202059,3.84
2202075,3.59
2202083,3.92
2202091,3.68
2202109,3.29
2202117,3.72
2202133,3.46
2202174,4.03
2202208,3.48
2202251,3.59
2202307,3.42
2202406,3.69
2202455,3.38
2202505,3.79
2202539,3.8
2202554,3.97
2202604,3.61
2202653,3.98
2202703,3.87
2202711,3.4
2202729,3.57
2202737,3.73
2202752,3.54
2202778,3.7
2202802,3.5
2202851,3.42
2202901,3.8
2203008,3.88
2203107,3.78
2203206,3.67
2203230,4.15
2203255,3.79
2203271,4.13
2203305,3.49
2203354,3.57
2203404,3.41
2203420,3.86
2203453,3.61
2203503,3.35
2203602,3.5
2203701,3.72
2203750,3.83
2203800,3.35
2203859,3.34
2203909,3.56
2204006,3.41
2204105,3.38
2204154,3.62
2204204,3.45
2204303,3.59
2204352,3.48
2204402,4.07
2204501,3.69
2204550,4.1
2204600,3.49
2204659,4.04
2204709,3.56
2204808,3.64
2204907,3.74
2205003,3.27
2205102,3.43
2205151,3.57
2205201,3.56
2205250,3.49
2205276,3.57
2205300,3.55
2205359,3.62
2205409,4.04
2205458,4.01
2205508,4.01
2205516,3.84
2205524,3.93
2205532,3.57
2205540,3.42
2205557,4.08
2205565,3.89
2205573,3.86
2205581,3.63
2205599,3.32
2205607,3.35
2205706,4.01
2205805,3.79
2205854,4.28
2205904,3.74
2205953,3.53
2206001,3.52
2206050,3.8
2206100,3.89
2206209,4.19
2206308,3.74
2206357,3.95
2206407,3.62
2206506,3.44
2206605,4.24
2206654,4.1
2206670,3.87
2206696,4.08
2206704,3.49
2206720,3.66
2206753,3.7
2206803,3.97
2206902,3.35
2206951,3.57
2207009,3.41
2207108,3.47
2207207,3.29
2207306,3.76
2207355,3.26
2207405,3.81
2207504,3.64
2207553,3.55
2207603,4.15
2207702,3.76
2207751,4.07
2207777,3.33
2207793,3.64
2207801,3.56
2207850,3.46
2207900,3.83
2207934,3.67
2207959,3.69
2208007,3.45
2208106,3.68
2208205,3.6
2208304,3.56
2208403,3.63
2208502,4.27
2208551,3.78
2208601,3.46
2208650,3.9
2208700,4.09
2208809,3.55
2208858,3.78
2208874,3.49
2208908,4.14
2209005,3.36
2209104,3.58
2209153,3.6
2209203,3.98
2209302,3.76
2209351,3.47
2209377,3.32
2209401,3.37
2209450,3.86
2209500,3.24
2209559,3.5
2209609,3.2
2209658,3.7
2209708,3.47
2209757,3.91
2209807,3.54
2209856,3.23
2209872,3.71
2209906,3.44
2209955,3.67
2209971,3.81
2210003,3.64
2210052,3.71
2210102,3.47
2210201,3.42
2210300,3.26
2210359,3.41
2210375,3.43
2210383,3.39
2210391,3.64
2210409,3.64
2210508,3.62
2210607,3.47
2210623,3.98
2210631,3.62
2210656,3.49
2210706,3.87
2210805,3.53
2210904,3.53
2210938,3.44
2210953,3.62
2210979,3.24
2211001,3.65
2211100,3.93
2211209,3.83
2211308,3.3
2211357,3.85
2211407,3.14
2211506,3.23
2211605,3.28
2211704,3.72
2300101,3.76
2300150,3.66
2300200,3.91
2300309,3.4
2300408,3.64
2300507,3.77
2300606,3.28
2300705,3.55
2300754,4
2300804,3.48
2300903,3.58
2301000,3.62
