"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
1500859,40.69,6.59,6.59,27.51,8.85,24.9,1.44,24.12
1500909,27.89,3.59,3.95,20.34,6.82,14.86,0,50.42
1500958,39.19,8.05,6,25.14,7.68,23.12,1.38,28.63
1501006,21.37,3.42,6.66,11.29,1.13,57.11,0.66,19.73
1501105,37.96,3.33,3.86,30.76,2.56,13.79,0.07,45.63
1501204,31.84,4.58,9.1,18.17,5.86,27.54,1.03,33.74
1501253,51.16,16.97,8.17,26.03,1.38,9.63,2.3,35.53
1501303,62.69,33.16,6.9,22.63,2.95,4.35,0.99,29.02
1501402,70.45,40.06,8.82,21.57,1.51,0.23,1.55,26.27
1501451,46.32,12.5,5.82,28.01,2.33,26.67,0.22,24.45
1501501,69.24,35.69,5.19,28.37,1.13,1.77,0.71,27.14
1501576,65.74,15.37,4.21,46.16,2.09,8.92,1.15,22.1
1501600,42.15,18.22,4.57,19.36,6.81,9.41,0.21,41.42
1501709,44.25,12.82,5.45,25.98,1.92,10.7,0.36,42.77
1501725,53.03,5.88,6.06,41.1,5.69,9.49,1.61,30.18
1501758,59.98,8.46,8.83,42.69,3.98,11.6,0.96,23.48
1501782,51.69,19.1,7.55,25.03,2.6,12.15,0.81,32.75
1501808,42.63,9.71,8.1,24.82,6.25,13.76,0.8,36.56
1501907,29.41,4.13,5.43,19.86,5.45,14.36,0.3,50.48
1501956,27.24,2.23,1.7,23.3,6.61,26.69,0.83,38.63
1502004,33.87,6.5,6.4,20.97,8.01,29.69,0.31,28.13
1502103,28.12,5.17,6,16.95,5.23,25.54,0.38,40.74
1502152,67.71,34.94,6.7,26.08,3.55,5.57,1.81,21.36
1502202,56.32,20.24,6.1,29.97,1.81,8.44,0.98,32.45
1502301,43.39,5.87,3.25,34.27,8.46,14.1,0.33,33.73
1502400,67.25,35.31,7,24.95,2.13,1.66,1.35,27.6
1502509,34.53,6.36,0.47,27.69,2.45,35.6,0.12,27.31
1502608,35.3,4.43,8.61,22.26,3.09,20.29,0.9,40.42
1502707,58.9,19.63,6.92,32.35,4.37,7.97,1.26,27.5
1502756,51.72,12.55,8.95,30.22,2.35,6.35,0.88,38.7
1502764,59.91,28.78,7.82,23.31,0.46,14.72,0.69,24.22
1502772,69.12,20.98,3.47,44.67,1.39,2.78,0.96,25.75
1502806,24.84,1.75,9.52,13.57,5.32,19.97,0.1,49.77
1502855,35.78,2.3,12.36,21.12,8.9,30.5,0.15,24.68
1502905,34.67,8.69,5.8,20.18,3.83,18.72,0.28,42.5
1502939,73.15,27.89,8.06,37.2,2.63,2.64,1.37,20.2
1502954,58.15,11.83,4.87,41.46,4.8,15.03,0.72,21.3
1503002,46.75,9.3,13.45,24,3.77,26.85,0,22.63
1503044,46.17,8.24,8.85,29.08,6.4,15.08,0.15,32.2
1503077,43.12,2.7,4.55,35.88,4.27,9.7,0.19,42.73
1503093,71.09,18.92,7.12,45.05,2.29,3.52,0.88,22.23
1503101,31.07,2.92,2.3,25.85,4.12,11.94,0.38,52.48
1503200,47.12,10.09,5,32.03,3.08,15.96,1.08,32.75
1503309,39.64,5.78,5.79,28.07,3.77,10.19,1.2,45.19
1503408,49.76,17.98,6.83,24.95,9.77,7.31,0.35,32.81
1503457,57.67,12.75,9.16,35.76,2.12,13.83,0.48,25.9
