"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
4313060,83.87,2.71,0.29,12.96,0.17,0
4313086,96.79,0.27,0,2.94,0,0
4313102,84.56,2.66,0.21,12.58,0,0
4313201,93.06,0.95,0.42,5.46,0.1,0
4313300,84.98,2.8,0.17,11.97,0.09,0
4313334,88.56,1.83,0.21,9.41,0,0
4313359,95.83,0.83,0.12,3.21,0,0
4313375,89.45,2.32,0.21,7.98,0.04,0
4313391,86.51,7.57,0,5.92,0,0
4313409,90.53,3.22,0.17,6.01,0.06,0
4313425,91.75,1.32,0.08,6.85,0,0
4313441,78.51,3.14,0,18.35,0,0
4313466,91.69,0.53,1,6.52,0.26,0
4313490,72.72,3.8,0.96,22.52,0,0
4313508,88.11,4.61,0.03,7.23,0.03,0
4313607,86.43,3.88,0.39,9.29,0,0
4313656,80.11,9.3,0.28,9.97,0.34,0
4313706,77.39,4.03,0.43,18.12,0.03,0
4313805,84.83,1.93,0.31,12.74,0.18,0
4313904,84.79,2.5,0.44,12.24,0.03,0
4313953,80.61,8.85,0.18,10.37,0,0
4314001,90.41,1.19,0.18,8.22,0,0
4314027,88.39,3.32,0,8.3,0,0
4314035,97.78,0.27,0,1.95,0,0
4314050,87.05,2.36,0.3,10.2,0.08,0
4314068,85.39,2.84,1.29,10.41,0.07,0
4314076,92.35,4.69,0.17,2.8,0,0
4314100,83.11,2.26,0.31,14.25,0.07,0
4314134,93.43,1.08,0.3,5.19,0,0
4314159,94.3,2.84,0.12,2.71,0.03,0
4314175,62.33,12.75,0.52,24.3,0.1,0
4314209,80.71,9.52,0.03,9.27,0.47,0
4314308,86.93,0.86,0.15,12.06,0,0
4314407,80.8,10.61,0.33,8.09,0.19,0
4314423,92.93,0.86,0.38,5.73,0.11,0
4314456,75.22,1.15,1.25,22.38,0,0
4314464,74.45,1.35,1.47,22.73,0,0
4314472,85.49,3.14,0.1,10.84,0.42,0
4314498,84.83,0.93,0.02,14.22,0,0
4314506,72.81,13.3,0.39,13.46,0.04,0
4314555,66.82,1.49,0.65,31.04,0,0
4314605,77.22,11.13,1.88,9.46,0.31,0
4314704,77.26,3.56,0.11,9.56,9.51,0
4314753,97.61,0.09,0,2.22,0.07,0
4314779,84.8,2.03,0.09,13.07,0,0
4314787,95.1,0.99,0.16,3.75,0,0
4314803,87.2,2.98,0.59,9.19,0.04,0
4314902,79.4,10.01,0.31,9.98,0.29,0
4315008,85.53,1.77,0.12,12.59,0,0
4315057,86.04,0.59,0.87,12.5,0,0
4315073,87.58,6.52,1.23,4.56,0.1,0
4315107,66.97,2.08,0.17,30.78,0,0
4315131,86.13,1.38,0,12.48,0,0
4315149,95.19,0.52,1.2,3.09,0,0
4315156,91.42,1.46,0,7.12,0,0
4315172,94.2,3.87,0.06,1.86,0,0
4315206,92.08,0.58,0.23,7.12,0,0
4315305,83.64,3.54,0.23,12.58,0,0
4315313,74.43,0.81,0.11,24.66,0,0
4315321,83.13,1.15,0,15.71,0,0
4315354,93,1.32,0.1,5.58,0,0
4315404,48.82,1.52,0.45,9.13,40.09,0
4315453,96.09,0.79,0.41,2.71,0,0
4315503,80.37,9.91,0.15,9.53,0.03,0
4315552,75.47,2.02,1.29,17.26,3.95,0
4315602,79.62,8.52,0.37,11.32,0.14,0.03
4315701,86.75,6.47,0,6.61,0.16,0
4315750,89.89,1.19,0.59,7.88,0.45,0
4315800,89.55,2.14,0.19,8.12,0,0
4315909,86.37,0.74,0,12.24,0.65,0
4315958,80.46,2.06,0.9,16.58,0,0
4316006,92.23,1.43,0.39,5.91,0.04,0
4316105,71.98,2.74,0.37,13.48,11.43,0
4316204,91.52,1.27,0.09,7.13,0,0
4316303,70.23,2.26,1.04,26.47,0,0
4316402,77.09,7.46,0.32,14.95,0.18,0
4316428,71.34,2.67,0.15,25.84,0,0
4316436,84.68,2.52,0,12.67,0.13,0
4316451,77.5,2.68,1.42,14.76,3.64,0
4316477,93.17,0.45,0.31,6.06,0,0
4316501,93.14,1.7,0.06,5.05,0.04,0
4316600,87.92,1.6,0.17,10.23,0.08,0
4316709,82.64,2.67,0.57,14.12,0,0
4316733,84.12,4.02,0.66,11.05,0.14,0
4316758,96.89,0.64,0,2.47,0,0
4316808,86.13,5.52,0.3,8,0.05,0
4316907,83.49,4.97,0.18,11.25,0.1,0
4316956,97.18,0.31,0.22,2.29,0,0
4316972,80.28,5.77,1.32,12.63,0,0
4317004,84.99,4.75,1.16,9.11,0,0
4317103,79.17,8,0.22,12.57,0.04,0
4317202,85.82,1.21,0.34,12.59,0.04,0
4317251,97.32,1.02,0.13,1.53,0,0
4317301,82.45,8.87,0.37,8.15,0.16,0
4317400,84.75,1.96,0.25,13.01,0.04,0
4317509,81.7,1.86,0.94,15.44,0.07,0
4317558,90.22,1.17,0.18,8.39,0.05,0
4317608,91.04,4,0.18,4.75,0.03,0
4317707,71.4,5.69,0.42,22.5,0,0
4317756,92.64,0.49,0.43,6.45,0,0
4317806,80.04,1.85,0.57,17.39,0.15,0
4317905,92.51,1.08,0.06,6.36,0,0
4317954,93.35,1.74,0.12,4.79,0,0
4318002,79.79,3.36,0.22,16.59,0.04,0
4318051,93.19,1.6,0.23,4.99,0,0
4318101,87.42,2.77,0.07,9.71,0.03,0
4318200,76.92,5.77,2.05,14.68,0.58,0
4318309,80.77,5.8,0.26,13.14,0.02,0
4318408,85.37,5.66,0.38,8.52,0.07,0
4318424,91.76,0.79,0.23,7.21,0,0
4318432,79.85,9.37,0,10.78,0,0
4318440,91.89,4.71,0,3.4,0,0
4318457,66.36,0.71,0.88,31.99,0.06,0
4318465,71.88,4.74,0.97,22.41,0,0
4318481,98.11,0.55,0.08,1.27,0,0
4318499,94.13,0.54,0.28,5.05,0,0
4318507,76.96,7.31,0.26,15.38,0.09,0
4318606,84.57,1.84,0.56,12.99,0.04,0
4318614,97.35,0.45,0,1.84,0.36,0
4318622,73.98,4.04,0.96,21.03,0,0
4318705,86.06,4.83,0.31,8.73,0.08,0
4318804,90.07,5.36,0.31,4.25,0.02,0
4318903,79,1.84,0.87,18.14,0.16,0
4319000,90.07,2.08,0.32,7.53,0,0
